Participant,Start,End,Duration,Sentiment,Decision,Private,Survival Item,Sentence
16.Yellow.72,04:08.4,04:09.6,00:01.1,,Agreement,,Flashlight,"""Okay well do that one next"""
16.Yellow.73,04:09.6,04:10.6,00:01.0,,,,,"""[unclear] so far"""
16.Yellow.74,04:12.1,04:13.5,00:01.3,,,,Flashlight,"""Okay after the flashlight"""
16.Yellow.75,04:13.6,04:14.7,00:01.1,,,,,"""Um"""
16.Yellow.76,04:18.6,04:20.9,00:02.3,,,,Steel Wool,"""A ball of steel wool"""
16.Pink.15,04:22.7,04:24.4,00:01.7,,,Private,Steel Wool,"""I put that for fifteen"""
16.Pink.16,04:24.4,04:25.5,00:01.1,,,,Steel Wool,"""I dont know what its used for"""
16.Blue.42,04:26.1,04:29.6,00:03.5,,,,,"""Yeah but at fourteen [unclear] fifteen yeah"""
16.Yellow.77,04:29.6,04:36.2,00:06.6,,,,"Air Map, Cigarette Lighter, Compress Kit, Pistol, Ski Poles","""So we have a sectional air map two ski poles cigarette lighter without fluid compress kit and then pistol"""
16.Yellow.78,04:36.4,04:37.9,00:01.5,,Proposal,,Pistol,"""I think we should do pistol next right"""
16.Pink.17,04:38.0,04:38.4,00:00.4,,Agreement,,,"""Yeah"""
16.Yellow.79,04:38.6,04:40.3,00:01.7,,Proposal,,Shortening,"""Oh and then can of shortening still"""
16.Blue.43,04:42.9,04:44.5,00:01.6,,Agreement,,Shortening,"""Can we do can of shortening next"""
16.Blue.44,04:44.9,04:46.4,00:01.6,,,,Shortening,"""Cause again its another thing to eat"""
16.Yellow.80,04:46.5,04:48.1,00:01.6,,,,"Pistol, Shortening","""Before the pistol or after the pistol"""
16.Blue.45,04:48.5,04:49.8,00:01.3,,Proposal,,"Pistol, Shortening","""I think before"""
16.Yellow.81,04:49.4,04:49.7,00:00.3,,Agreement,,"Pistol, Shortening","""Before"""
16.Pink.18,04:50.9,04:51.2,00:00.4,,Agreement,,,"""Yeah"""
16.Blue.46,04:51.0,04:52.5,00:01.5,,,,Pistol,"""What if somebody doesnt know how to use gun"""
16.Yellow.82,04:53.3,04:54.5,00:01.2,Positive,,,,"""$ thats true"""
16.Blue.47,04:54.2,04:55.7,00:01.5,Positive,,,,"""$"""
16.Yellow.83,04:54.9,04:55.4,00:00.5,,,,,"""Uh"""
16.Yellow.84,04:56.8,04:58.2,00:01.4,,,,"Pistol, Shortening","""Okay after the pistol"""
16.Yellow.85,04:59.1,04:59.8,00:00.7,,,,,"""Um"""
16.Blue.48,05:02.8,05:03.9,00:01.1,,,,Pistol,"""Pistol"""
16.Yellow.86,05:04.4,05:05.6,00:01.2,,,,Air Map,"""The air map maybe"""
16.Blue.49,05:08.5,05:11.1,00:02.6,,Proposal,,Ski Poles,"""Can we go bigger amount than the ski poles"""
16.Blue.50,05:11.1,05:13.7,00:02.6,,,,,"""Someone decides just to go try and find the town"""
16.Yellow.87,05:11.1,05:11.5,00:00.4,,Agreement,,,"""Yeah"""
16.Yellow.88,05:13.8,05:14.2,00:00.4,,,,,"""Yeah"""
16.Pink.19,05:14.1,05:14.5,00:00.4,,Agreement,,,"""Yeah"""
16.Yellow.89,05:14.9,05:16.5,00:01.5,,,,,"""So then"""
16.Yellow.90,05:20.7,05:22.8,00:02.1,Negative,,,Unknown,"""And then we have three useless things"""
16.Yellow.91,05:22.9,05:26.1,00:03.2,,Proposal,,"Compress Kit, Ski Poles","""Okay Im going to put the compress kit after the ski poles"""
16.Yellow.92,05:26.1,05:28.9,00:02.8,,,,"Compress Kit, Ski Poles, Steel Wool","""Cause I think thats more important than ball of steel wool"""
16.Yellow.93,05:29.9,05:30.2,00:00.4,,,,,"""Yeah"""
16.Blue.51,05:32.5,05:35.2,00:02.7,,Proposal,,Cigarette Lighter,"""Yeah the lighter like last yeah either or"""
16.Yellow.94,05:33.9,05:34.4,00:00.5,,Agreement,,,"""Last"""
16.Yellow.95,05:35.2,05:36.9,00:01.7,,Confirmation,,Cigarette Lighter,"""The lighter we did last okay"""
16.Yellow.96,05:37.3,05:38.0,00:00.7,,,,,"""Thats everything"""
16.Yellow.97,05:41.4,05:42.4,00:01.0,,,,,"""[unclear]"""
16.Blue.52,05:42.9,05:43.6,00:00.7,,,,,"""I think so"""
16.Pink.20,05:43.6,05:44.5,00:00.8,Positive,,,,"""Yeah I think thats good"""
16.Yellow.98,05:44.8,05:45.9,00:01.1,Positive,,,,"""Yep $"""
16.Pink.21,05:45.8,05:46.2,00:00.4,Positive,,,,"""$"""
