Participant,Start,End,Duration,Sentiment,Decision ,Sentence
23.Blue.15,00:43.4,00:47.0,00:03.6,,,"""Even if you like walk across the border, there's nothing across the border."""
23.Orange.14,00:47.1,00:47.8,00:00.8,,,"""Yeah."""
23.Blue.16,00:48.0,00:49.0,00:01.0,,,"""So it's like --"""
23.Orange.15,00:49.0,00:51.2,00:02.2,,,"""Okay, um."""
23.Orange.16,00:51.8,00:54.2,00:02.4,,,"""Hm, okay, well what's your second one, just so I'm aware."""
23.Blue.17,00:54.2,00:54.9,00:00.7,,,"""The gun."""
23.Orange.17,00:54.9,00:55.4,00:00.6,,,"""The gun?"""
23.Orange.18,00:55.4,00:58.3,00:02.8,,,"""Okay, I put the, uh, compress kit."""
23.Blue.18,00:59.1,01:03.0,00:03.9,,,"""Yeah, see, cause I was like it's-uh-it-there's nobody seriously injured."""
23.Blue.19,01:03.3,01:05.1,00:01.8,,,"""But they're injured enough, right?"""
23.Orange.19,01:03.4,01:05.0,00:01.6,,,"""But what if you do get injured?"""
23.Blue.20,01:05.1,01:05.7,00:00.7,,,"""Right, exactly."""
23.Blue.21,01:05.7,01:06.6,00:00.9,,,"""And you --"""
23.Orange.20,01:05.9,01:07.1,00:01.2,,,"""What if you go into shock?"""
23.Blue.22,01:06.9,01:07.6,00:00.7,,,"""Exactly."""
23.Blue.23,01:07.7,01:09.2,00:01.5,,,"""And you're like a little bit injured."""
23.Orange.21,01:09.2,01:09.9,00:00.7,Positive,,"""$"""
23.Blue.24,01:09.7,01:12.2,00:02.6,Negative,,"""Then you'd be really messed up if you're that cold."""
23.Blue.25,01:12.2,01:12.9,00:00.7,,,"""You know?"""
23.Orange.22,01:13.6,01:14.2,00:00.6,,,"""True."""
23.Blue.26,01:14.2,01:14.8,00:00.6,,,"""Right?"""
23.Orange.23,01:14.3,01:15.5,00:01.2,,,"""Um."""
23.Blue.27,01:15.3,01:16.5,00:01.3,Positive,,"""That's that's a good one."""
23.Orange.24,01:16.5,01:18.4,00:01.9,Positive,,"""I do like your extra shirt and pants though."""
23.Orange.25,01:18.4,01:20.0,00:01.5,,,"""I get where you're coming from there."""
23.Blue.28,01:20.6,01:21.8,00:01.2,,,"""I like the compass though."""
23.Orange.26,01:21.5,01:22.8,00:01.3,Positive,Proposal,"""Then I really like the compass."""
23.Orange.27,01:22.8,01:26.8,00:03.9,,,"""Yeah because we need to know we need to move as soon as possible."""
23.Blue.29,01:26.9,01:31.3,00:04.5,,Agreement,"""Like yeah I was gonna say because there's no way of surviving if you don't get out of there."""
23.Orange.28,01:31.0,01:31.7,00:00.7,,,"""Yeah."""
23.Blue.30,01:31.9,01:33.9,00:02.0,,Agreement,"""I think the compass would be a good number one."""
23.Orange.29,01:33.6,01:34.2,00:00.6,,,"""Yeah?"""
23.Blue.31,01:34.0,01:34.6,00:00.5,,,"""Yeah."""
23.Orange.30,01:34.2,01:35.1,00:00.9,,Agreement,"""We agree on that one?"""
23.Blue.32,01:34.9,01:35.4,00:00.5,,Agreement,"""Yeah."""
23.Orange.31,01:35.1,01:35.5,00:00.4,,,"""Kay."""
23.Orange.32,01:36.0,01:37.2,00:01.2,,Confirmation,"""Kay, so that's one."""
23.Orange.33,01:37.6,01:38.5,00:00.9,,,"""Okay, second one."""
23.Orange.34,01:38.5,01:43.2,00:04.7,,,"""So I put the compress kit and you had?"""
23.Blue.33,01:40.0,01:40.5,00:00.5,,,"""Mhm."""
23.Blue.34,01:42.1,01:42.8,00:00.7,,,"""The gun."""
23.Blue.35,01:43.2,01:43.8,00:00.5,,,"""Oh."""
23.Orange.35,01:43.9,01:45.4,00:01.5,,,"""Okay, why did you choose gun?"""
23.Blue.36,01:45.6,01:48.6,00:03.0,,,"""Um, because in southern Manitoba, there's a lot of animals."""
23.Orange.36,01:48.7,01:49.5,00:00.8,,,"""True."""
23.Blue.37,01:49.7,01:51.7,00:02.0,,,"""Up like right across the border."""
23.Blue.38,01:51.8,01:52.5,00:00.7,,,"""I know that."""
23.Orange.37,01:53.1,01:54.2,00:01.1,Positive,,"""Are you from Manitoba?"""
23.Orange.38,01:54.2,01:56.5,00:02.4,Positive,,"""$"""
23.Blue.39,01:54.3,01:59.2,00:04.8,Positive,,"""No $ I'm just was like in the states like right underneath Manitoba."""
23.Orange.39,01:58.1,01:59.0,00:00.9,,,"""Oh."""
23.Orange.40,01:59.0,01:59.7,00:00.8,,,"""Okay."""
23.Blue.40,01:59.2,02:00.3,00:01.2,,,"""So I was like --"""
23.Orange.41,02:00.4,02:02.3,00:01.9,,,"""Um, I put the gun as my ninth."""
23.Blue.41,02:02.3,02:03.1,00:00.7,,,"""Okay."""
23.Orange.42,02:02.6,02:03.4,00:00.8,,,"""Um."""
23.Orange.43,02:03.7,02:05.4,00:01.7,,,"""I put a knife as my third."""
23.Blue.42,02:05.8,02:10.4,00:04.7,,,"""Yeah, right, cause the knife could protect you but also help with stuff."""
23.Orange.44,02:09.5,02:10.0,00:00.5,,,"""But --"""
23.Orange.45,02:10.6,02:14.0,00:03.4,,,"""But how much is it loaded though, like loaded all the way, like?"""
23.Blue.43,02:12.5,02:13.2,00:00.7,,,"""I don't know."""
23.Blue.44,02:13.2,02:14.3,00:01.1,,,"""It doesn't say."""
23.Blue.45,02:14.3,02:15.4,00:01.0,,,"""It just says loaded."""
23.Blue.46,02:15.4,02:16.8,00:01.4,,,"""So is it like any?"""
23.Orange.46,02:17.0,02:18.1,00:01.1,,,"""How many bullets is that?"""
23.Blue.47,02:18.1,02:19.1,00:01.0,,,"""Or is it just one?"""
23.Orange.47,02:19.1,02:19.8,00:00.6,,,"""Yeah."""
23.Blue.48,02:19.2,02:21.0,00:01.8,Positive,,"""Right like $?"""
23.Orange.48,02:21.0,02:25.2,00:04.2,,,"""I don't know what a point, or, forty-five calibre pistol would be like."""
23.Orange.49,02:25.2,02:27.2,00:01.9,,,"""That's kind of small."""
23.Blue.49,02:26.1,02:28.1,00:02.0,,,"""Yeah, that's just like a normal loaded gun."""
23.Orange.50,02:27.9,02:28.6,00:00.7,,,"""Okay."""
23.Orange.51,02:29.6,02:30.5,00:00.9,,,"""Um."""
23.Orange.52,02:31.4,02:32.4,00:01.0,,,"""Okay."""
23.Orange.53,02:32.4,02:34.4,00:02.1,,Proposal,"""Do you like the compress kit or?"""
23.Orange.54,02:34.4,02:36.0,00:01.6,,,"""What are your thought-what are you thoughts on that?"""
23.Blue.50,02:36.0,02:41.1,00:05.1,,Proposal & Disagreement,"""I like the compress kit but I also think that the shirts and pants are more, you know, right."""
23.Orange.55,02:39.6,02:41.1,00:01.6,,,"""Are highly needed."""
23.Orange.56,02:41.1,02:42.5,00:01.4,,Agreement,"""I completely agree with that."""
23.Orange.57,02:42.5,02:44.4,00:01.9,,Agreement,"""So should we do that as the second one?"""
23.Blue.51,02:44.1,02:45.7,00:01.6,,Agreement,"""Yeah, let's do that one as second one."""
23.Orange.58,02:44.4,02:44.9,00:00.4,,,"""Okay."""
23.Orange.59,02:45.7,02:46.3,00:00.7,,,"""Kay."""
23.Orange.60,02:48.1,02:49.4,00:01.3,,,"""Um, third one?"""
23.Orange.61,02:49.7,02:50.6,00:00.8,,,"""Um."""
23.Blue.52,02:50.7,02:51.7,00:01.0,,,"""Yeah, I had the knife."""
23.Orange.62,02:51.7,02:53.8,00:02.0,,,"""Knife, I had that one as well."""
23.Blue.53,02:52.4,02:54.8,00:02.4,,Agreement,"""Yeah yeah."""
23.Orange.63,02:53.8,02:54.6,00:00.9,,Proposal,"""Do you wanna keep it?"""
23.Orange.64,02:54.6,02:55.3,00:00.7,,,"""Kay."""
23.Orange.65,02:56.1,03:01.8,00:05.7,,Proposal,"""Okay, fourth, um, I... uh, I put the map."""
23.Blue.54,03:02.5,03:03.5,00:01.0,,,"""Oh okay."""
23.Orange.66,03:03.5,03:11.2,00:07.7,,,"""Cause I feel like we're gonna need, um, because it talked about how eighty eighty miles northwest."""
23.Orange.67,03:11.2,03:13.1,00:01.8,,,"""So you need to know where to go, right?"""
23.Orange.68,03:13.1,03:16.9,00:03.8,,,"""So that's why we have the compass, but then we also need the map to know exactly where we're going."""
23.Blue.55,03:17.7,03:18.6,00:00.9,,,"""Oh."""
23.Orange.69,03:18.7,03:19.3,00:00.7,,,"""Right?"""
23.Blue.56,03:19.3,03:21.0,00:01.7,,,"""So you think that you would like, being a map --"""
23.Blue.57,03:21.0,03:22.7,00:01.7,,,"""I was just like it's a big piece of plastic."""
23.Blue.58,03:22.7,03:25.9,00:03.2,Positive,,"""Like $ like [unclear]"""
23.Orange.70,03:23.8,03:27.9,00:04.1,Positive,,"""I just saw map on there and I was like $ addresses."""
23.Blue.59,03:28.3,03:29.3,00:01.1,Positive,,"""Wow."""
23.Orange.71,03:28.4,03:29.6,00:01.3,,,"""Um, what do you think of that?"""
23.Orange.72,03:29.6,03:31.8,00:02.1,,,"""Cause we're gonna be -- so eighty --"""
23.Blue.60,03:31.0,03:31.9,00:00.9,,,"""We're gonna have to leave."""
23.Blue.61,03:31.9,03:34.0,00:02.0,,,"""Like you have to try and get out of where you are."""
23.Orange.73,03:33.6,03:36.6,00:03.0,,,"""Yeah and it's the closest to, you know, a small town."""
23.Blue.62,03:36.6,03:37.0,00:00.4,,,"""Yeah."""
23.Orange.74,03:36.6,03:38.4,00:01.8,,,"""So, I thought water food, you know."""
23.Blue.63,03:38.4,03:39.5,00:01.1,,Agreement,"""Yeah, that's fine."""
23.Orange.75,03:38.9,03:40.3,00:01.4,,,"""Um, what are you thinking?"""
23.Blue.64,03:40.3,03:41.0,00:00.8,Positive,Agreement,"""Yeah, that's smart."""
23.Orange.76,03:41.0,03:42.5,00:01.5,,Confirmation,"""Yeah, four, okay."""
23.Blue.65,03:41.2,03:42.2,00:01.0,,,"""Yeah."""
23.Orange.77,03:43.1,03:44.3,00:01.2,,,"""What about five?"""
23.Blue.66,03:45.3,03:46.8,00:01.5,Positive,,"""Five I had whiskey."""
23.Blue.67,03:47.0,03:49.1,00:02.1,Positive,,"""$"""
23.Orange.78,03:47.4,03:48.7,00:01.3,,,"""Oh, okay."""
23.Orange.79,03:49.2,03:50.7,00:01.5,Positive,,"""You're a drinker $."""
23.Blue.68,03:49.4,03:53.7,00:04.2,Positive,,"""$"""
23.Orange.80,03:50.7,03:51.5,00:00.8,Positive,,"""Just kidding."""
23.Orange.81,03:51.8,03:54.1,00:02.4,,,"""Um, I put the extra shirt and pants."""
23.Orange.82,03:54.1,03:56.4,00:02.2,Positive,,"""But, I do like that idea."""
23.Orange.83,03:57.2,04:04.2,00:07.0,,,"""Um, for my sixth one, I put flashlight with batteries just so that we can see where we're going."""
23.Blue.69,04:02.5,04:03.4,00:00.9,,,"""See where we're --"""
23.Blue.70,04:03.6,04:04.3,00:00.6,,,"""Yep."""
23.Orange.84,04:04.8,04:07.5,00:02.7,Negative,,"""Um I don't have good eyesight so."""
23.Blue.71,04:07.5,04:09.2,00:01.7,,,"""Oh, that one was an important one then like that."""
23.Orange.85,04:08.6,04:09.5,00:00.9,,,"""Yeah."""
23.Orange.86,04:11.1,04:12.4,00:01.3,,,"""What are your thoughts?"""
23.Orange.87,04:12.5,04:14.0,00:01.5,,,"""What did you put for flashlight?"""
23.Blue.72,04:14.6,04:16.2,00:01.6,,,"""I put flashlight as number nine."""
23.Orange.88,04:16.2,04:18.0,00:01.8,,,"""Oh, okay, interesting."""
23.Blue.73,04:17.0,04:17.8,00:00.8,,,"""Yeah."""
23.Orange.89,04:18.6,04:19.8,00:01.2,,,"""Um."""
23.Blue.74,04:19.6,04:26.9,00:07.3,Positive & Negative,,"""But I'm also now stressed because the compress kit isn't in the top five, you know, like it's the less one like you know $."""
23.Blue.75,04:26.9,04:33.5,00:06.7,Positive & Negative,,"""$ well no, you thought it was super important, and m-mine was number six, so like [unclear]."""
23.Orange.90,04:27.3,04:28.3,00:01.0,,,"""Yeah."""
23.Blue.76,04:33.5,04:34.6,00:01.1,,,"""But, um."""
23.Blue.77,04:35.1,04:36.0,00:00.9,,,"""You made a good point."""
23.Blue.78,04:36.0,04:44.7,00:08.7,Positive & Negative,,"""Like if you were injured $ like, then there's no way like even if it's a small like you cut your leg or something traveling, like trying to get out of where you are."""
23.Orange.91,04:37.5,04:38.4,00:00.9,,,"""Yeah."""
23.Blue.79,04:44.7,04:47.1,00:02.4,,,"""And I don't even know how many other people are with you."""
23.Orange.92,04:47.6,04:48.6,00:01.0,,,"""Well, it's just you and I."""
23.Blue.80,04:48.6,04:49.6,00:01.0,,,"""Oh, it's just us?"""
23.Orange.93,04:49.6,04:50.5,00:00.9,,,"""I guess."""
23.Blue.81,04:50.5,04:51.1,00:00.6,,,"""Whoa."""
23.Orange.94,04:51.1,04:53.1,00:02.0,Negative,,"""Cause the pilot and co-pilot have been killed."""
23.Blue.82,04:51.8,04:54.1,00:02.3,Positive & Negative,,"""You can't just leave me here $."""
23.Orange.95,04:53.7,04:54.9,00:01.1,,,"""Uh."""
23.Orange.96,04:55.2,04:56.7,00:01.4,,,"""Yeah, no one is seriously injured."""
23.Orange.97,04:57.0,04:59.0,00:02.0,,,"""Um, but we were in a plane, so."""
23.Orange.98,04:59.5,05:02.3,00:02.8,,,"""And say about how many people were in there?"""
23.Blue.83,05:02.8,05:05.0,00:02.2,,,"""And it doesn't say how long daytime is."""
23.Blue.84,05:05.0,05:11.4,00:06.4,,,"""Cause that's the other thing."""
23.Orange.99,05:09.5,05:10.4,00:00.8,,,"""Yeah."""
23.Orange.100,05:11.4,05:12.1,00:00.7,,,"""Yeah."""
23.Blue.85,05:11.7,05:14.5,00:02.8,,,"""But Manitoba's pretty similar I guess."""
23.Orange.101,05:14.0,05:15.2,00:01.2,,,"""It's in the morning right now."""
23.Orange.102,05:15.2,05:16.9,00:01.7,,,"""It's 11:32 am."""
23.Orange.103,05:17.8,05:18.5,00:00.7,,,"""Right?"""
23.Blue.86,05:18.2,05:19.4,00:01.2,,,"""Oh, so it's like lunch time."""
23.Orange.104,05:19.2,05:20.3,00:01.1,,,"""So it's lunch time."""
23.Orange.105,05:20.9,05:26.3,00:05.4,,,"""And when it come -- so daytime it's minus twenty-five, minus forty at night."""
23.Orange.106,05:26.6,05:28.2,00:01.6,,,"""So, we want to move."""
23.Orange.107,05:28.2,05:32.2,00:04.0,,,"""But we're not going to be moving that far because it's cold and we're gonna need to make shelter as well."""
23.Blue.87,05:32.2,05:33.3,00:01.1,,,"""Yeah, exactly."""
23.Orange.108,05:33.5,05:37.0,00:03.5,,,"""So, and you put -- sorry what did you put for five again?"""
23.Blue.88,05:36.8,05:37.7,00:00.9,,,"""I put the whiskey."""
23.Orange.109,05:37.7,05:38.7,00:00.9,,,"""The whiskey."""
23.Orange.110,05:38.9,05:39.8,00:00.9,Positive,,"""It'll keep you warm."""
23.Blue.89,05:39.8,05:41.1,00:01.3,,,"""Yeah, exactly."""
23.Orange.111,05:40.6,05:41.5,00:00.9,Positive,,"""That's smart."""
23.Orange.112,05:41.5,05:43.1,00:01.5,,,"""Um."""
23.Orange.113,05:44.5,05:45.6,00:01.1,Positive,,"""Kay, I kind of like that."""
23.Orange.114,05:45.6,05:46.8,00:01.2,,,"""But I'm also thinking --"""
23.Blue.90,05:45.7,05:51.7,00:05.9,,,"""Cause it'll just like, just -- like it's not actually going to keep you warm, but it will keep you warm enough to like --"""
23.Orange.115,05:51.0,05:52.1,00:01.2,,,"""Well it'll keep you going."""
23.Blue.91,05:51.7,05:54.2,00:02.5,,,"""Yeah, ex-it'll keep you, exactly."""
23.Orange.116,05:52.1,05:53.8,00:01.7,,,"""Calories, all that stuff."""
23.Orange.117,05:54.2,05:55.6,00:01.4,,Proposal,"""Uh, okay, let's do that."""
23.Orange.118,05:55.6,05:56.4,00:00.8,,,"""Why not?"""
23.Blue.92,05:56.1,05:57.0,00:00.8,,Agreement,"""Yeah."""
23.Orange.119,05:56.6,05:58.6,00:02.0,,,"""Um, my thoughts are making shelter."""
23.Orange.120,05:58.6,06:01.7,00:03.0,,,"""But there's nothing really here that would make shelter, so."""
23.Orange.121,06:02.2,06:06.5,00:04.3,,,"""Um, okay, six to one, I put the flashlight and batteries."""
23.Blue.93,06:06.8,06:08.5,00:01.7,,,"""Yeah, and then I did the compress kit."""
23.Orange.122,06:09.0,06:09.6,00:00.6,,,"""Okay."""
23.Orange.123,06:09.8,06:11.1,00:01.3,,,"""Um, we've already done --"""
23.Orange.124,06:11.1,06:12.7,00:01.6,,,"""Wait, we haven't done the compress kit."""
23.Blue.94,06:12.7,06:15.1,00:02.4,Positive & Negative,,"""See, that's why I was stressin $."""
23.Orange.125,06:13.6,06:14.7,00:01.1,,,"""Hm."""
23.Orange.126,06:15.6,06:16.2,00:00.6,,,"""Kay."""
23.Blue.95,06:16.0,06:19.1,00:03.1,Positive,,"""Like you would bring the whiskey over the compress kit $ like?"""
23.Orange.127,06:18.8,06:20.4,00:01.6,,Proposal,"""Yeah, let's do the compress kit."""
23.Orange.128,06:20.4,06:23.2,00:02.8,,Proposal,"""Should we do compress kit five and then whiskey six?"""
23.Blue.96,06:22.2,06:22.8,00:00.6,,Agreement,"""Yeah."""
23.Blue.97,06:23.1,06:23.6,00:00.5,,Agreement,"""Yeah."""
23.Orange.129,06:23.4,06:24.0,00:00.5,,,"""Kay."""
23.Blue.98,06:23.8,06:24.3,00:00.5,,Agreement,"""I think so."""
23.Orange.130,06:24.2,06:25.4,00:01.2,,,"""Changing it."""
23.Orange.131,06:25.4,06:26.3,00:00.9,Positive,,"""Awesome."""
23.Orange.132,06:26.6,06:28.4,00:01.9,,,"""Okay, now we're on to seven."""
23.Orange.133,06:29.0,06:32.1,00:03.1,,Proposal,"""Um, I put the thirty feet of rope."""
23.Blue.99,06:32.1,06:32.7,00:00.6,,Agreement,"""Same."""
23.Orange.134,06:33.0,06:33.9,00:00.9,,,"""Oh."""
23.Blue.100,06:33.1,06:34.0,00:01.0,Positive,,"""Nice $."""
23.Orange.135,06:33.9,06:35.5,00:01.6,Positive,,"""Nice, okay."""
23.Orange.136,06:35.5,06:36.5,00:01.0,,Confirmation,"""Should we keep that?"""
23.Blue.101,06:36.0,06:37.0,00:01.0,,,"""Yeah $."""
23.Orange.137,06:36.5,06:38.1,00:01.6,,Confirmation,"""Alright, eight."""
23.Blue.102,06:38.4,06:39.8,00:01.4,,Proposal,"""Eight was the family-sized chocolate bar."""
23.Orange.138,06:39.9,06:42.2,00:02.3,,Proposal,"""Okay, I put newspaper for making a fire."""
23.Blue.103,06:42.3,06:43.7,00:01.4,,,"""Oh."""
23.Orange.139,06:43.4,06:47.0,00:03.6,,,"""Because you can stick sticks together and make friction."""
23.Blue.104,06:46.6,06:47.3,00:00.7,,,"""That's true."""
23.Orange.140,06:47.0,06:48.2,00:01.2,,,"""Newspaper fire."""
23.Blue.105,06:47.7,06:52.1,00:04.4,,,"""You think just because it's like super cold that, um, there's gonna be snow."""
23.Orange.141,06:53.8,06:58.4,00:04.6,,,"""True, but you could always make -- get rid of the snow."""
23.Blue.106,06:57.1,07:01.5,00:04.4,,,"""And there's really heav-heavy -- like it's really thick wood-woods."""
23.Blue.107,07:02.3,07:04.3,00:02.0,,,"""Then I think the snow would be like --"""
23.Orange.142,07:03.5,07:05.2,00:01.7,,,"""It'd be hard to get twigs and stuff, hey."""
23.Blue.108,07:05.4,07:10.3,00:04.9,,,"""No no no I think it would like, you know when the trees are really big, then the snow doesn't fall like right under the tree."""
23.Orange.143,07:10.0,07:10.8,00:00.7,,,"""Right."""
23.Blue.109,07:10.3,07:12.0,00:01.7,,,"""Yeah, so I think that that would be okay."""
23.Orange.144,07:13.1,07:14.7,00:01.6,,,"""So, your thoughts are?"""
23.Blue.110,07:15.0,07:17.4,00:02.4,,Agreement,"""That the that makes sense, the newspaper."""
23.Orange.145,07:16.4,07:17.8,00:01.4,,,"""That the newspaper?"""
23.Blue.111,07:17.4,07:17.9,00:00.6,,Agreement,"""Yeah."""
23.Orange.146,07:17.9,07:19.6,00:01.7,,Confirmation,"""So you -- would you like that for eight?"""
23.Blue.112,07:19.3,07:19.9,00:00.5,,,"""Yeah."""
23.Orange.147,07:19.9,07:20.3,00:00.4,,Agreement,"""Kay."""
23.Orange.148,07:21.7,07:26.2,00:04.5,,,"""Um, alright, nine, I got the pistol."""
23.Blue.113,07:26.8,07:27.4,00:00.6,,,"""Okay."""
23.Blue.114,07:27.4,07:29.7,00:02.4,,,"""And I put the batter -- the flashlight and batteries."""
23.Orange.149,07:29.9,07:34.4,00:04.4,,,"""Okay, so what do you think would be more important: flashlight or batteries or pistol?"""
23.Orange.150,07:37.8,07:38.8,00:01.1,,,"""Um."""
23.Blue.115,07:38.6,07:44.1,00:05.5,,,"""I'm assuming that we're not like hella injured so like we could run away from like an animal or like climb a tree."""
23.Blue.116,07:44.4,07:45.1,00:00.7,,,"""You know?"""
23.Blue.117,07:45.2,07:52.5,00:07.3,Positive & Negative,,"""But if we're like injured to the point where we one of us can't, then one of us is getting eaten $."""
23.Orange.151,07:45.3,07:46.0,00:00.8,,,"""True."""
23.Orange.152,07:51.9,07:53.4,00:01.5,Positive,,"""$ I can out run you."""
23.Orange.153,07:53.4,07:54.4,00:01.1,Positive,,"""I'm just kidding $."""
23.Blue.118,07:53.6,07:57.1,00:03.5,Positive,,"""$ you're like, I don't have to worry about that."""
23.Orange.154,07:54.4,07:55.7,00:01.2,Positive,,"""I'm totally kidding $."""
23.Orange.155,07:56.2,08:02.6,00:06.4,,,"""Um, my thoughts are, um, it's dark, um."""
23.Blue.119,08:00.5,08:01.1,00:00.6,,,"""Mhm."""
23.Orange.156,08:04.5,08:05.5,00:01.0,,,"""Um."""
23.Orange.157,08:08.5,08:13.6,00:05.1,Negative,,"""Um, yeah, if we're like in shock and we're scared, we're gonna be pretty panicky."""
23.Blue.120,08:13.4,08:14.3,00:00.9,,,"""Yeah, exactly."""
23.Orange.158,08:13.7,08:14.8,00:01.1,,,"""Um."""
23.Blue.121,08:15.0,08:17.6,00:02.6,Negative,,"""And then I also don't think that we're going to be sleeping much."""
23.Orange.159,08:18.0,08:20.2,00:02.3,Negative,,"""Yeah, we're gonna be kind of in shock."""
23.Blue.122,08:20.1,08:20.9,00:00.8,,,"""Yeah."""
23.Orange.160,08:20.2,08:22.1,00:01.9,,Proposal,"""So do you think a gun would be more important?"""
23.Orange.161,08:22.1,08:23.4,00:01.3,,,"""We can protect ourselves."""
23.Orange.162,08:24.2,08:26.3,00:02.1,,,"""Just cause we're not going to be moving much."""
23.Orange.163,08:26.3,08:29.1,00:02.8,Negative,,"""If it's minus forty, we're gonna be way too cold to move."""
23.Blue.123,08:28.5,08:29.3,00:00.7,,Agreement,"""Yeah."""
23.Orange.164,08:29.6,08:31.5,00:01.9,,Proposal,"""So, pistol?"""
23.Orange.165,08:32.1,08:32.9,00:00.8,,,"""What do you think?"""
23.Blue.124,08:32.8,08:33.7,00:00.9,,Agreement,"""Yeah."""
23.Orange.166,08:33.4,08:35.9,00:02.5,,Confirmation,"""Kay, so that would be nine."""
23.Blue.125,08:35.8,08:36.6,00:00.8,,,"""Mhm."""
23.Orange.167,08:36.7,08:37.9,00:01.2,,,"""Kay, so ten?"""
23.Orange.168,08:38.5,08:39.8,00:01.3,,,"""I put the chocolate bar."""
23.Blue.126,08:40.8,08:41.5,00:00.7,Positive,,"""Nice."""
23.Orange.169,08:41.6,08:42.3,00:00.7,,,"""What do you think?"""
23.Blue.127,08:42.3,08:43.4,00:01.1,,,"""I put the air map."""
23.Blue.128,08:43.8,08:45.6,00:01.9,Positive,,"""$"""
23.Orange.170,08:44.3,08:44.9,00:00.6,,,"""Okay."""
23.Orange.171,08:45.4,08:47.2,00:01.8,,,"""Uh, we've already got the air map."""
23.Blue.129,08:46.4,08:49.2,00:02.8,Positive,,"""Yeah we got that on there $ so that's crossed out."""
23.Orange.172,08:47.5,08:49.7,00:02.2,,,"""So, what do you think?"""
23.Blue.130,08:49.6,08:52.7,00:03.1,,,"""Um, okay, which ones do we not have still?"""
23.Orange.173,08:49.7,08:50.5,00:00.9,,,"""So."""
23.Orange.174,08:53.0,09:06.8,00:13.8,,,"""Uh, we don't have the cigarette lighter, two ski polls, which I think those are a little bit less, um, chocolate bar, can of shortening, ball of steel wool, um, flashlight and batteries."""
23.Blue.131,08:54.8,08:55.5,00:00.7,,,"""Hm."""
23.Blue.132,08:58.6,08:59.4,00:00.8,,,"""Mhm."""
23.Blue.133,09:07.3,09:10.0,00:02.7,,Proposal,"""I think the flashlight with batteries is the second most important."""
23.Orange.175,09:07.7,09:09.2,00:01.4,,,"""Batteries next?"""
23.Orange.176,09:09.8,09:11.4,00:01.6,,Agreement,"""So ten, okay."""
23.Blue.134,09:10.3,09:10.9,00:00.7,,,"""Yeah."""
23.Orange.177,09:11.6,09:14.4,00:02.8,,Proposal,"""Uh, eleven, I put the can of shortening."""
23.Blue.135,09:15.5,09:17.0,00:01.5,,,"""What was your reasoning behind that?"""
23.Orange.178,09:16.9,09:18.3,00:01.3,,,"""Um, cause it's fat."""
23.Orange.179,09:18.3,09:22.9,00:04.7,,,"""So, it will, um, I'm thinking of calories, something that's gonna keep you full."""
23.Blue.136,09:18.5,09:19.6,00:01.2,,,"""Oh."""
23.Blue.137,09:21.4,09:22.9,00:01.5,,,"""[unclear]"""
