Participant,Start,End,Duration,Sentiment ,Decision ,Sentence
22.Orange.15,01:55.4,01:56.7,00:01.3,,,"""I know, but, I don't know."""
22.Orange.16,01:56.7,02:01.5,00:04.7,,,"""I felt like chocolate bar and the shortening weren't the best options to --"""
22.Blue.31,01:57.3,01:59.7,00:02.4,,,"""You're gonna get outta there right away?"""
22.Orange.17,02:01.5,02:03.6,00:02.2,,,"""So I just thought if we built --"""
22.Pink.21,02:02.7,02:06.8,00:04.1,,,"""I kind of, yeah, I kind of feel food would come later."""
22.Orange.18,02:04.1,02:06.1,00:01.9,,,"""We build stuff to go."""
22.Pink.22,02:06.8,02:16.5,00:09.7,,,"""Yeah, you have the energy in the moment, you're high on adrenaline, you're ready to either try and get out, that's why I have the compass, or to start building something to protect you."""
22.Orange.19,02:13.3,02:14.7,00:01.3,,,"""To survive."""
22.Pink.23,02:16.5,02:18.3,00:01.9,,,"""Food is gonna have to come later."""
22.Pink.24,02:18.3,02:20.3,00:02.0,,,"""That's what I kind of was thinking."""
22.Orange.20,02:19.5,02:21.0,00:01.5,,,"""That's what I thought, yeah."""
22.Blue.32,02:20.9,02:21.6,00:00.7,,,"""Okay."""
22.Blue.33,02:21.7,02:24.1,00:02.5,,Proposal,"""So, you think four should be the rope?"""
22.Orange.21,02:25.3,02:25.9,00:00.6,,Agreement,"""Yeah."""
22.Pink.25,02:25.7,02:27.3,00:01.6,,Agreement,"""Let's do rope."""
22.Blue.34,02:28.0,02:29.8,00:01.8,,,"""And so five?"""
22.Pink.26,02:33.2,02:34.9,00:01.7,,,"""I had the compress kit."""
22.Pink.27,02:34.9,02:36.8,00:01.9,,,"""Just in case there was any injuries."""
22.Pink.28,02:36.8,02:38.9,00:02.1,,,"""You don't know what people have."""
22.Orange.22,02:40.2,02:42.8,00:02.6,,,"""I had the wool but the wool."""
22.Blue.35,02:41.4,02:42.3,00:00.9,,,"""You had which?"""
22.Blue.36,02:42.6,02:43.1,00:00.4,,,"""Wool?"""
22.Orange.23,02:42.8,02:45.3,00:02.5,,,"""But I had everything very close."""
22.Orange.24,02:45.3,02:48.3,00:03.0,,,"""I wasn't precise like the exact order obviously."""
22.Pink.29,02:49.5,02:50.9,00:01.4,,,"""What did you have for five?"""
22.Blue.37,02:51.3,02:52.7,00:01.5,,,"""Um, a compass."""
22.Pink.30,02:53.3,02:55.0,00:01.7,,Proposal,"""Should we put the compass?"""
22.Orange.25,02:54.5,02:56.4,00:01.9,,Agreement,"""We can put the compass at five, yeah."""
22.Blue.38,02:56.0,02:56.4,00:00.5,,Agreement,"""Yeah."""
22.Blue.39,02:57.4,02:59.0,00:01.7,,,"""So, when is six?"""
22.Orange.26,03:01.1,03:02.0,00:00.9,,,"""Hm."""
22.Blue.40,03:01.3,03:01.8,00:00.5,,,"""Okay."""
22.Blue.41,03:01.8,03:03.1,00:01.3,,,"""I put the map."""
22.Pink.31,03:02.3,03:03.5,00:01.3,,,"""Now I had food."""
22.Blue.42,03:03.5,03:04.2,00:00.7,,,"""Did you?"""
22.Pink.32,03:04.4,03:06.4,00:02.0,Positive,,"""$ can of shortening."""
22.Blue.43,03:05.5,03:06.8,00:01.3,Positive,,"""$"""
22.Orange.27,03:07.1,03:09.3,00:02.1,,,"""We can put food in there."""
22.Blue.44,03:08.7,03:11.3,00:02.6,,,"""So why is your -- out of all the others?"""
22.Pink.33,03:10.4,03:12.0,00:01.6,,,"""Cause it's more fattening than --"""
22.Orange.28,03:11.9,03:12.6,00:00.7,,,"""Mhm."""
22.Pink.34,03:12.4,03:15.9,00:03.5,,,"""If you need warmth, you need fat, don't you?"""
22.Pink.35,03:15.9,03:17.2,00:01.3,,,"""That's why I put shortening."""
22.Blue.45,03:17.2,03:20.1,00:02.8,,,"""See and I thought it would be for fire."""
22.Blue.46,03:20.3,03:22.0,00:01.8,,,"""Cause it's -- does it burn?"""
22.Blue.47,03:22.0,03:24.2,00:02.2,Positive,,"""I don't even know if it burns $."""
22.Pink.36,03:24.0,03:28.5,00:04.5,,,"""I don't know, I think the-the steel wool and the newspaper and the lighter."""
22.Blue.48,03:24.2,03:25.3,00:01.1,,,"""But anyways."""
22.Pink.37,03:29.0,03:32.4,00:03.3,,,"""I thought would be for the fire, but yeah, I don't know."""
22.Blue.49,03:29.5,03:30.3,00:00.8,,,"""Oh, yeah."""
22.Blue.50,03:30.8,03:33.0,00:02.2,,,"""Yeah, oh."""
22.Pink.38,03:32.4,03:33.8,00:01.4,Positive,,"""I'm not the survivor one."""
22.Orange.29,03:33.2,03:35.1,00:01.9,Positive,,"""$"""
22.Pink.39,03:33.8,03:35.3,00:01.5,Positive,,"""$"""
22.Blue.51,03:34.8,03:37.1,00:02.3,,,"""Okay, so, number six is?"""
22.Blue.52,03:37.7,03:40.2,00:02.5,,,"""Like some form of food?"""
22.Orange.30,03:40.1,03:40.8,00:00.7,,,"""Sure."""
22.Blue.53,03:40.3,03:41.2,00:00.9,,Proposal,"""Shortening?"""
22.Orange.31,03:41.0,03:41.4,00:00.4,,,"""Sure."""
22.Blue.54,03:41.8,03:44.1,00:02.4,,,"""Kay % seven?"""
22.Pink.40,03:44.9,03:46.2,00:01.2,,,"""I had chocolate bar."""
22.Blue.55,03:47.7,03:48.6,00:00.9,,,"""What did you have?"""
22.Orange.32,03:48.3,03:50.8,00:02.5,,,"""Hm, I had the compression kit."""
22.Blue.56,03:50.8,03:53.5,00:02.7,Positive,,"""And I had gun $."""
22.Pink.41,03:52.9,03:55.9,00:03.0,,,"""Yeah, my gun was number eight, so I was right there with you on that."""
22.Orange.33,03:55.0,03:56.3,00:01.3,Positive,,"""$"""
22.Blue.57,03:56.5,03:58.4,00:01.8,,,"""So, what should number seven be?"""
22.Pink.42,03:58.6,03:59.9,00:01.4,,Proposal,"""Wanna put down gun?"""
22.Orange.34,03:59.6,04:01.4,00:01.8,,,"""Yeah, we can do -- yeah."""
22.Blue.58,04:01.6,04:03.3,00:01.7,,,"""So, and number eight?"""
22.Pink.43,04:05.6,04:06.8,00:01.2,,,"""What did you have for eight?"""
22.Blue.59,04:07.1,04:08.2,00:01.1,,,"""And the knife."""
22.Pink.44,04:08.2,04:09.3,00:01.1,,,"""Okay, and I had the gun at eight."""
22.Pink.45,04:09.3,04:10.6,00:01.3,,,"""So we've already put that down."""
22.Orange.35,04:10.3,04:13.5,00:03.2,,,"""Mhm, I had the compass already at eight."""
22.Orange.36,04:13.5,04:14.6,00:01.1,,,"""So we already used that."""
22.Blue.60,04:14.6,04:18.0,00:03.4,,,"""Okay, so, what are the other ones?"""
22.Blue.61,04:18.5,04:20.1,00:01.6,,,"""The ball of steel?"""
22.Blue.62,04:20.6,04:24.1,00:03.6,,,"""Cause you-you rated that pretty high on the list, right?"""
22.Orange.37,04:21.0,04:21.7,00:00.7,,,"""Mhm."""
22.Pink.46,04:22.0,04:23.2,00:01.2,,Proposal,"""Should we put that? """
22.Orange.38,04:23.1,04:24.6,00:01.4,,Agreement,"""[unclear] yeah."""
22.Blue.63,04:24.5,04:25.3,00:00.8,,,"""%"""
22.Blue.64,04:26.0,04:28.4,00:02.4,,,"""S-okay, nine."""
22.Pink.47,04:30.0,04:31.9,00:01.8,,,"""Um, I had whiskey."""
22.Orange.39,04:31.7,04:32.9,00:01.2,,,"""I had whiskey as well."""
22.Blue.65,04:32.5,04:35.0,00:02.5,,,"""Okay, I would have put that next anyways."""
22.Blue.66,04:35.8,04:36.7,00:00.9,,,"""So."""
22.Blue.67,04:37.6,04:44.2,00:06.6,,,"""We haven't picked the chocolate, the map, the ski polls, none of the ones above the whiskey."""
22.Pink.48,04:44.6,04:45.5,00:00.9,,,"""Okay."""
22.Orange.40,04:45.3,04:47.0,00:01.7,,,"""So we have everything else on this side?"""
22.Blue.68,04:46.8,04:47.7,00:00.8,,,"""Yes."""
22.Orange.41,04:47.3,04:48.0,00:00.7,,,"""Okay."""
22.Orange.42,04:48.5,04:49.6,00:01.1,,,"""Hm."""
22.Pink.49,04:48.9,04:50.3,00:01.4,,,"""So, we're at ten now."""
22.Blue.69,04:50.3,04:50.8,00:00.6,,,"""Mhm."""
22.Pink.50,04:51.3,04:52.4,00:01.1,,,"""So."""
22.Pink.51,04:55.0,04:56.6,00:01.6,,,"""Did we put the compress kit down?"""
22.Blue.70,04:56.9,04:57.7,00:00.8,,,"""No."""
22.Orange.43,04:57.4,04:58.9,00:01.5,,Proposal,"""We should probably put that, yeah."""
22.Pink.52,04:57.9,04:59.7,00:01.8,,Proposal,"""Should we do that now?"""
22.Blue.71,04:58.9,04:59.5,00:00.5,,Agreement,"""Yeah."""
22.Orange.44,04:59.2,04:59.9,00:00.7,,Agreement,"""Yeah."""
22.Blue.72,04:59.7,05:00.3,00:00.6,,,"""Okay."""
22.Blue.73,05:01.9,05:06.0,00:04.1,,Proposal,"""So I think we all agree that the lighter without fluid is the last one, right?"""
22.Pink.53,05:05.5,05:08.1,00:02.6,,Agreement,"""Yeah I guess you would need that to make fire."""
22.Blue.74,05:06.0,05:07.2,00:01.2,Positive,,"""$"""
22.Orange.45,05:06.8,05:09.4,00:02.6,,Agreement,"""Yeah, that's what I had."""
22.Pink.54,05:08.1,05:09.5,00:01.4,,Agreement,"""Well, yeah."""
22.Blue.75,05:10.5,05:11.4,00:01.0,,,"""So, we're on eleven."""
22.Blue.76,05:11.5,05:14.6,00:03.2,,,"""So we have the newspaper, ski polls, the map, or the chocolate bar."""
22.Pink.55,05:15.9,05:17.5,00:01.6,,Proposal,"""Should we do chocolate bar?"""
22.Blue.77,05:17.5,05:19.2,00:01.7,Positive,Agreement,"""$ kay."""
22.Orange.46,05:17.8,05:18.5,00:00.6,,Agreement,"""Yeah."""
22.Blue.78,05:19.6,05:20.5,00:00.8,,,"""Twelve?"""
22.Pink.56,05:22.9,05:23.8,00:00.9,,,"""Um."""
22.Orange.47,05:25.1,05:30.0,00:04.9,,Proposal,"""Well, I had ski polls, and eleven and twelve are chocolate bar, but we can always do ski polls next."""
22.Pink.57,05:30.1,05:31.8,00:01.8,,Agreement,"""Yeah, should we do the ski polls?"""
22.Blue.79,05:32.3,05:33.8,00:01.4,,Agreement,"""Wow, okay."""
22.Blue.80,05:34.2,05:36.5,00:02.3,,,"""So, the map or the newspaper?"""
22.Orange.48,05:38.6,05:39.5,00:00.9,,,"""Mm."""
22.Pink.58,05:39.4,05:40.7,00:01.3,,Proposal,"""I think the newspaper."""
22.Pink.59,05:40.7,05:42.7,00:02.0,,,"""You can't -- it might rain."""
22.Orange.49,05:41.5,05:42.7,00:01.2,,Agreement,"""We could do that."""
22.Blue.81,05:44.4,05:46.6,00:02.3,,Confirmation,"""And so the map is fourteen."""
22.Blue.82,05:46.9,05:47.8,00:00.8,,,"""That's it."""
22.Orange.50,05:47.3,05:47.9,00:00.6,,,"""Kay."""
22.Blue.83,05:48.2,05:50.0,00:01.8,,,"""%"""
