Participant,Start,End,Duration,Sentiment,Decision,Private,Survival Item,Sentence
8.Blue.13,00:59.7,01:00.7,00:00.9,,,,,"""What about you?"""
8.Orange.17,00:59.8,01:01.6,00:01.8,,,,,"""Um... well, okay."""
8.Orange.18,01:01.6,01:04.6,00:03.0,,,Private,"Compress Kit, Flashlight","""I put flashlight, but I also forgot about the compress kit."""
8.Orange.19,01:04.6,01:07.8,00:03.2,,,,Compress Kit,"""So, I would probably go with the compress kit and then --"""
8.Green.13,01:07.1,01:07.6,00:00.5,,,,,"""Okay."""
8.Green.14,01:07.6,01:12.1,00:04.4,,,,Flashlight,"""The thing with the flashlight is I don't think it's super important because it's 11:32 in the morning."""
8.Orange.20,01:10.5,01:11.1,00:00.6,,,,,"""Yeah."""
8.Orange.21,01:12.0,01:12.8,00:00.8,,,,,"""In the morning."""
8.Green.15,01:12.1,01:13.8,00:01.7,,,,,"""I mean it's still light, so."""
8.Orange.22,01:13.0,01:13.5,00:00.5,,,,,"""Yeah."""
8.Blue.14,01:13.8,01:15.6,00:01.8,,,,,"""But you also have to walk eighty miles."""
8.Orange.23,01:15.9,01:17.7,00:01.8,,,,,"""Very true, very true."""
8.Blue.15,01:16.0,01:17.4,00:01.3,,,,,"""If no one's coming to find you."""
8.Blue.16,01:17.6,01:19.0,00:01.4,,,,,"""And that takes like three days."""
8.Green.16,01:18.1,01:20.9,00:02.7,,,,Flashlight,"""So-so eventually we'll need the flashlight."""
8.Orange.24,01:19.5,01:20.3,00:00.8,,,,,"""But I think --"""
8.Green.17,01:20.9,01:24.0,00:03.1,,,,Flashlight,"""But at this exact moment in time, I do not feel like we need it."""
8.Orange.25,01:22.1,01:29.5,00:07.4,,,,"Compress Kit, Flashlight","""Yeah, I would probably go with the compress kit over the flashlight just cause injury is more important than seeing in the dark probably."""
8.Green.18,01:27.8,01:29.6,00:01.8,,Proposal,,,"""Okay, so, let's go with -- okay, so let's --"""
8.Blue.17,01:28.7,01:29.0,00:00.3,,Agreement,,,"""Yeah."""
8.Blue.18,01:29.2,01:30.5,00:01.3,,Agreement,,Compress Kit,"""Compress kit sounds good for four."""
8.Green.19,01:29.6,01:30.5,00:00.9,,Proposal,,Compress Kit,"""Let's go with compress kit."""
8.Green.20,01:30.5,01:31.7,00:01.2,,,,Compress Kit,"""That was four right?"""
8.Orange.26,01:31.2,01:31.7,00:00.5,,Agreement,,,"""Yeah."""
8.Blue.19,01:31.3,01:31.6,00:00.3,,,,,"""Yeah."""
8.Green.21,01:32.2,01:32.8,00:00.6,,,,,"""Okay."""
8.Blue.20,01:33.5,01:34.5,00:01.1,,,Private,Flashlight,"""Five, I have a flashlight."""
8.Orange.27,01:34.7,01:35.2,00:00.6,Positive,,,,"""$"""
8.Green.22,01:34.9,01:37.9,00:03.0,,,Private,Newspaper,"""I had newspaper cause again, I was going with the fire thing, so."""
8.Orange.28,01:38.5,01:39.2,00:00.7,,,,,"""Um, okay."""
8.Orange.29,01:39.2,01:42.7,00:03.5,Negative,,Private,Pistol,"""I put the pistol because I was afraid of getting eaten by a bear."""
8.Blue.21,01:42.6,01:43.3,00:00.7,"Positive, Negative",,,,"""$"""
8.Green.23,01:42.9,01:45.3,00:02.4,"Positive, Negative",,Private,Pistol,"""$ me too."""
8.Orange.30,01:43.3,01:49.3,00:06.0,"Positive, Negative",,,,"""Um $ um yeah, more for protection and food I guess."""
8.Blue.22,01:49.1,01:49.5,00:00.4,,,,,"""Hm."""
8.Green.24,01:49.7,01:50.2,00:00.5,,,,,"""Okay."""
8.Orange.31,01:50.3,01:50.9,00:00.7,,,,,"""Um."""
8.Green.25,01:50.8,01:52.9,00:02.0,,,,,"""So, we all have different answers, so."""
8.Blue.23,01:52.5,01:52.9,00:00.3,,,,,"""Yep."""
8.Orange.32,01:52.8,01:53.6,00:00.8,Positive,,,,"""$"""
8.Blue.24,01:53.4,01:54.2,00:00.8,,,,,"""This is number five?"""
8.Blue.25,01:54.2,01:54.6,00:00.5,,,,,"""Sorry."""
8.Orange.33,01:54.6,01:55.0,00:00.4,,,,,"""Yeah."""
8.Green.26,01:54.7,01:55.1,00:00.4,,,,,"""Yeah."""
8.Orange.34,01:55.0,01:55.7,00:00.7,,,,,"""Okay, wait."""
8.Orange.35,01:55.7,01:57.4,00:01.6,,,,,"""So, which did you guys have for five?"""
8.Green.27,01:57.3,02:04.4,00:07.2,,,Private,"Newspaper, Whiskey","""I had newspaper but only cause I was going with the having the whi-whiskey so then I would make a fire cause you know it's cold out."""
8.Orange.36,02:00.2,02:01.9,00:01.7,,,,,"""The -- for making a fire?"""
8.Orange.37,02:02.2,02:02.7,00:00.5,,,,,"""Okay."""
8.Blue.26,02:03.1,02:05.4,00:02.3,,,Private,Flashlight,"""I had s-flashlight with batteries."""
8.Orange.38,02:05.3,02:05.8,00:00.5,,,,,"""Okay."""
8.Blue.27,02:05.8,02:08.0,00:02.2,,,,Knife,"""If you have a knife, you can chop wood sort of."""
8.Blue.28,02:08.0,02:10.0,00:02.0,,,,,"""So you can make a fire if it's dry."""
8.Green.28,02:09.2,02:12.4,00:03.1,,,,Cigarette Lighter,"""Another reason. wh-we have another reason cause we don't have a lighter."""
8.Orange.39,02:09.5,02:10.0,00:00.5,,,,,"""True."""
8.Green.29,02:12.4,02:13.7,00:01.3,,,,,"""So it's hard to make it."""
8.Blue.29,02:12.6,02:13.1,00:00.6,,,,,"""Hm."""
8.Green.30,02:13.7,02:22.1,00:08.4,,,,"Newspaper, Whiskey","""So, then I was like well you have the whiskey and then you have the newspaper then you should be able to if you like hit something together you would be able to make a fire."""
8.Green.31,02:22.1,02:23.5,00:01.4,,,,,"""But that was just my thought."""
8.Orange.40,02:24.4,02:26.3,00:01.9,,,,Compress Kit,"""Then we have to, we have compress kit."""
8.Orange.41,02:26.6,02:29.7,00:03.1,,Proposal,,Whiskey,"""Then we'd have to have the whiskey as number six then."""
8.Green.32,02:29.9,02:30.3,00:00.4,,Agreement,,,"""Yeah."""
8.Orange.42,02:30.4,02:32.0,00:01.6,,,,,"""And do, um --"""
8.Green.33,02:32.6,02:37.0,00:04.4,,,,,"""But I mean it's up to uh-you guys too cause I, I'm just going in my head there."""
8.Orange.43,02:34.4,02:35.0,00:00.7,Positive,,,,"""$"""
8.Orange.44,02:37.9,02:38.5,00:00.7,,,,,"""I don't really know."""
8.Orange.45,02:38.5,02:39.7,00:01.2,,,,,"""This one's kind of tricky."""
8.Blue.30,02:39.7,02:40.3,00:00.5,,,,,"""Hm."""
8.Orange.46,02:40.3,02:40.7,00:00.5,,,,,"""Okay."""
8.Green.34,02:40.4,02:45.7,00:05.3,,,,Flashlight,"""I still don't feel like the flashlight is the most important thing cause again it's 11:32 in the morning and --"""
8.Orange.47,02:42.1,02:42.7,00:00.6,,,,,"""Let's --"""
8.Blue.31,02:45.7,02:49.3,00:03.7,,,,Flashlight,"""But you're not going to find another flashlight in the middle of the woods though before dark though are you?"""
8.Green.35,02:49.3,02:51.0,00:01.7,,,,Flashlight,"""No, but we can still take it with us."""
8.Green.36,02:51.0,02:53.6,00:02.6,,,,Flashlight,"""We just don't need to use it at this exact second."""
8.Orange.48,02:52.6,02:53.6,00:01.0,,,,,"""Okay, let's come --"""
8.Blue.32,02:53.6,02:54.0,00:00.4,,,,,"""Okay."""
8.Orange.49,02:53.8,02:54.9,00:01.1,,,,,"""Not that this might work."""
8.Orange.50,02:54.9,02:56.1,00:01.2,,,,,"""But let's come back to that one."""
8.Orange.51,02:56.1,02:57.8,00:01.7,,,,,"""What did you guys get for six?"""
8.Blue.33,02:57.9,02:58.6,00:00.7,,,Private,Rope,"""Uh, rope."""
8.Orange.52,02:59.3,02:59.9,00:00.5,,,,,"""Kay."""
8.Orange.53,02:59.9,03:02.2,00:02.4,,,Private,Compress Kit,"""I had the compress kit and since we already have that one --"""
8.Orange.54,03:02.2,03:03.3,00:01.1,,,,Rope,"""Why did you put rope?"""
8.Blue.34,03:03.5,03:05.6,00:02.1,,,,Rope,"""Um, I think rope always comes in handy. """
8.Blue.35,03:05.6,03:11.7,00:06.1,Positive,,,Rope,"""I can't think of a need for rope right now, but I have watched a lot of survivor men and he always needs rope."""
8.Orange.55,03:08.4,03:09.0,00:00.7,,,,,"""Okay."""
8.Orange.56,03:10.8,03:11.7,00:00.9,Positive,,,,"""$"""
8.Orange.57,03:12.2,03:12.8,00:00.5,,,,,"""Okay."""
8.Orange.58,03:12.9,03:14.3,00:01.4,,,,,"""And what did you have for six?"""
8.Green.37,03:13.4,03:17.1,00:03.7,,,Private,Cigarette Lighter,"""I had the cigarette lighter but it was because it has the flint inside of it."""
8.Green.38,03:17.1,03:20.0,00:02.9,,,,Cigarette Lighter,"""And even if it doesn't have fluid, you could still make a fire."""
8.Blue.36,03:17.5,03:17.9,00:00.4,,,,,"""Oh."""
8.Blue.37,03:19.9,03:20.6,00:00.7,Positive,,,,"""I like that."""
8.Orange.59,03:19.9,03:21.0,00:01.1,,,,,"""Okay, how do you know what -- """
8.Green.39,03:20.3,03:21.3,00:01.0,,,,,"""It was just my."""
8.Orange.60,03:21.0,03:22.3,00:01.2,Positive,,,,"""Yeah, I like that too."""
8.Blue.38,03:21.8,03:22.4,00:00.6,Positive,,,,"""I like that."""
8.Orange.61,03:22.7,03:23.2,00:00.5,,,,,"""Okay."""
8.Orange.62,03:23.3,03:24.0,00:00.7,,,,,"""Um."""
8.Blue.39,03:24.0,03:25.1,00:01.1,,Proposal,,Cigarette Lighter,"""Should we get cigarette lighter?"""
8.Green.40,03:24.6,03:26.2,00:01.5,Positive,,,,"""I was going with the fire $."""
8.Orange.63,03:25.9,03:26.9,00:01.0,,Agreement,,,"""Let's yeah, let's --"""
8.Orange.64,03:27.0,03:28.9,00:02.0,,,,,"""I'm not sure how skipping five was going to work."""
8.Orange.65,03:28.9,03:31.7,00:02.8,,Agreement,,Cigarette Lighter,"""Let's just put six as cigarette lighter."""
8.Blue.40,03:29.6,03:30.8,00:01.2,,,,,"""We'll come back to five."""
8.Green.41,03:31.5,03:32.5,00:01.0,,Confirmation,,Cigarette Lighter,"""Cigarette lighter, six?"""
8.Orange.66,03:32.0,03:32.4,00:00.5,,,,,"""Yeah."""
8.Blue.41,03:32.3,03:33.0,00:00.7,,,,,"""Alright."""
8.Green.42,03:32.5,03:33.0,00:00.5,,Agreement,,,"""Okay."""
8.Green.43,03:34.5,03:35.0,00:00.5,,,,,"""Alright."""
8.Orange.67,03:35.8,03:36.3,00:00.5,,,,,"""Okay."""
8.Green.44,03:36.3,03:36.8,00:00.5,,,,,"""Seven?"""
8.Blue.42,03:37.0,03:39.3,00:02.3,,,Private,Shirt/Pants,"""I had, I had extra shirt and pants but we already got that."""
8.Orange.68,03:39.2,03:40.0,00:00.8,,,Private,Rope,"""I had rope."""
8.Orange.69,03:40.2,03:41.0,00:00.8,Positive,,,,"""$"""
8.Green.45,03:40.2,03:42.7,00:02.4,,,Private,Chocolate Bar,"""I had the chocolate bar cause you know we need food."""
8.Green.46,03:42.7,03:44.9,00:02.2,Positive,,,,"""[unclear] $."""
8.Orange.70,03:42.7,03:43.8,00:01.1,Positive,,,,"""$"""
8.Orange.71,03:44.7,03:47.4,00:02.7,,,,,"""Um... okay."""
8.Orange.72,03:47.8,03:49.1,00:01.3,,,,,"""I'm just trying to think."""
8.Orange.73,03:49.1,03:50.8,00:01.7,,,Private,Rope,"""You had rope for five?"""
8.Orange.74,03:51.0,03:52.2,00:01.2,,,Private,Rope,"""Or for six?"""
8.Blue.43,03:51.5,03:51.8,00:00.3,,,,,"""Me?"""
8.Blue.44,03:51.8,03:53.7,00:01.9,,,Private,Rope,"""I had rope for six."""
8.Orange.75,03:53.7,03:54.7,00:01.0,,,,,"""Six, kay."""
8.Green.47,03:54.7,03:56.7,00:02.0,,,Private,Rope,"""I have rope way later but that's --"""
8.Orange.76,03:56.0,03:56.7,00:00.8,,,,,"""Way later?"""
8.Blue.45,03:56.0,03:56.5,00:00.5,,,,,"""Hm."""
8.Green.48,03:56.7,03:57.1,00:00.4,,,,,"""Yeah"""
8.Orange.77,03:57.1,03:58.8,00:01.7,,,Private,Rope,"""How come you put rope so much later?"""
8.Orange.78,03:58.8,04:01.2,00:02.4,,,,Rope,"""Just cause you can't think of a use for it?"""
8.Green.49,03:59.4,04:08.1,00:08.7,,,,,"""I just -- I don't -- well, like I understand like if we were like climbing something as well but we're in, um, a forest like in the woods with lakes and rivers."""
8.Green.50,04:08.1,04:11.7,00:03.6,,,,,"""So, I'm not sure if we're actually going to need to climb anything at this point so."""
8.Blue.46,04:11.7,04:13.7,00:02.0,,,,,"""What if you need to make like a boat or shelter."""
8.Orange.79,04:13.9,04:14.9,00:01.0,,,,Rope,"""Out of a rope?"""
8.Green.51,04:14.4,04:15.9,00:01.5,Positive,,,Rope,"""Out of a rope $?"""
8.Orange.80,04:15.0,04:16.4,00:01.4,Positive,,,,"""$"""
8.Blue.47,04:15.3,04:17.4,00:02.1,,,,Rope,"""Out of, out of, out of logs and rope."""
8.Orange.81,04:17.6,04:18.7,00:01.0,,,,,"""Oh, very true."""
8.Green.52,04:18.3,04:19.2,00:00.9,,,,,"""Oh, that's true."""
8.Blue.48,04:18.8,04:19.1,00:00.4,,,,,"""Yeah."""
8.Orange.82,04:19.0,04:22.5,00:03.6,,,,Rope,"""You could use it to tie stuff to make a shelter or a raft."""
8.Blue.49,04:21.4,04:21.9,00:00.5,,,,,"""Mhm."""
8.Green.53,04:22.7,04:23.4,00:00.7,,,,,"""Okay."""
8.Blue.50,04:22.8,04:24.0,00:01.2,,,,,"""Should've clarified that one."""
8.Orange.83,04:23.6,04:25.7,00:02.0,Positive,,,,"""And there's lakes, so then you could."""
8.Green.54,04:23.8,04:26.6,00:02.8,Positive,,,Rope,"""$ I was like, I was like are you going to float on rope?"""
8.Orange.84,04:26.1,04:29.9,00:03.8,,,,Rope,"""I think rope, actually that make sense if we're needing to get across the lake."""
8.Green.55,04:29.7,04:31.3,00:01.7,,Proposal,,Rope,"""Okay, so rope seven then?"""
8.Blue.51,04:29.8,04:30.4,00:00.6,,,,,"""Yeah."""
8.Orange.85,04:31.3,04:32.1,00:00.8,,Agreement,,,"""Sure, yeah."""
8.Green.56,04:32.1,04:32.6,00:00.5,,,,,"""Alright."""
8.Green.57,04:33.3,04:34.1,00:00.8,,,,,"""Where were I?"""
8.Green.58,04:35.6,04:36.3,00:00.7,,,,,"""Right there."""
8.Green.59,04:36.9,04:37.7,00:00.9,,,,,"""Seven, okay."""
8.Orange.86,04:38.2,04:38.8,00:00.6,,,,,"""Eight."""
8.Blue.52,04:39.6,04:40.7,00:01.1,,,Private,Pistol,"""I had pistol."""
8.Green.60,04:40.6,04:43.2,00:02.6,,,Private,Compress Kit,"""I had the compress kit but we already have that one."""
8.Orange.87,04:42.1,04:46.2,00:04.2,,,,Air Map,"""I had the air map but I wasn't exactly -- I probably should've asked what that was."""
8.Orange.88,04:46.2,04:48.1,00:01.9,,,,,"""But I've kind of guessed."""
8.Green.61,04:46.4,04:46.9,00:00.5,,,,,"""Oh well."""
8.Orange.89,04:48.5,04:49.5,00:01.0,Positive,,,,"""Um $."""
8.Green.62,04:48.7,04:50.5,00:01.8,,,,Air Map,"""Uh, it's made of plastic. """
8.Green.63,04:50.5,04:52.6,00:02.2,,,,Air Map,"""So, I'm sure we could do something with it."""
8.Orange.90,04:50.9,04:51.5,00:00.6,,,,,"""Yeah."""
8.Orange.91,04:52.3,04:52.9,00:00.6,,,,Air Map,"""With it."""
8.Orange.92,04:53.0,04:53.5,00:00.5,,,,,"""Okay."""
8.Orange.93,04:54.4,04:54.9,00:00.5,,,,,"""You guys."""
8.Green.64,04:54.9,04:56.4,00:01.5,,,,Air Map,"""You can also use it to keep warm."""
8.Green.65,04:56.4,04:57.1,00:00.8,,,,,"""Just saying."""
8.Orange.94,04:57.7,04:58.9,00:01.2,,,,,"""Well, I don't really know, yeah."""
8.Green.66,04:58.9,05:00.0,00:01.0,,,,Air Map,"""Depending on how big it is."""
8.Orange.95,04:59.7,05:01.3,00:01.6,Positive,,,,"""$ do we? """
8.Green.67,05:00.4,05:01.9,00:01.5,Positive,,,,"""But $."""
8.Orange.96,05:01.3,05:02.3,00:01.0,Positive,,,,"""We don't really know $."""
8.Orange.97,05:02.7,05:03.4,00:00.6,,,,,"""Um."""
8.Blue.53,05:03.3,05:04.9,00:01.6,,,,Pistol,"""Have we knocked pistol off yet?"""
8.Orange.98,05:05.1,05:05.5,00:00.4,,,,,"""No."""
8.Green.68,05:05.4,05:05.8,00:00.4,,,,,"""No."""
8.Orange.99,05:05.8,05:10.5,00:04.7,,Proposal,,Pistol,"""I think pistol would be a good one just protection and probably hunting if we needed to get food."""
8.Blue.54,05:05.9,05:06.3,00:00.4,,,,,"""True."""
8.Blue.55,05:10.0,05:11.3,00:01.3,,,,Pistol,"""And you can signal with it."""
8.Green.69,05:11.4,05:11.7,00:00.3,,Agreement,,,"""True."""
8.Orange.100,05:11.5,05:13.3,00:01.9,,,,Pistol,"""Very true, makes loud noises."""
8.Blue.56,05:12.0,05:12.4,00:00.4,,Agreement,,,"""Yeah."""
8.Green.70,05:12.2,05:12.5,00:00.3,,Agreement,,,"""Okay."""
8.Green.71,05:12.9,05:13.7,00:00.8,,Confirmation,,,"""So, eight?"""
8.Orange.101,05:13.7,05:14.1,00:00.4,,,,,"""Yeah."""
8.Green.72,05:15.4,05:16.0,00:00.6,,,,,"""Alright."""
8.Blue.57,05:17.1,05:18.4,00:01.2,,,Private,Chocolate Bar,"""Then I had chocolate bar."""
8.Orange.102,05:18.7,05:19.6,00:00.9,,,,,"""Mm."""
8.Green.73,05:19.3,05:20.4,00:01.0,,,Private,Air Map,"""Uh, I had the air map."""
8.Orange.103,05:20.6,05:22.2,00:01.6,Positive,,Private,Cigarette Lighter,"""I had the cigarette lighter $."""
8.Green.74,05:21.8,05:23.6,00:01.8,Positive,,,,"""Oh, look at us all doing that. """
8.Orange.104,05:23.5,05:24.0,00:00.6,Positive,,,,"""Um $."""
8.Blue.58,05:23.8,05:24.4,00:00.6,,,,,"""I would."""
8.Green.75,05:24.3,05:29.4,00:05.1,,,,"Air Map, Chocolate Bar","""So, the only one we haven't used that -- oh no, we haven't used air map or... the chocolate bar one."""
8.Blue.59,05:29.7,05:33.7,00:04.0,,Proposal,,"Air Map, Chocolate Bar","""I think I would rather go with map than the chocolate bar in those scenarios, unless like right now."""
8.Green.76,05:33.7,05:35.0,00:01.4,,Disagreement,,,"""But I mean, what if we're hungry?"""
8.Blue.60,05:33.8,05:34.4,00:00.7,,,,,"""I don't know."""
8.Blue.61,05:36.1,05:36.9,00:00.9,Positive,,,Air Map,"""Eat the map."""
8.Green.77,05:36.5,05:38.2,00:01.7,Positive,,,Air Map,"""$ eat the map."""
8.Orange.105,05:37.0,05:44.3,00:07.3,,,,Air Map,"""Or we could go, we could go further in the correct direction in order to get food more quickly if we had a map and I think."""
8.Green.78,05:43.6,05:45.7,00:02.1,,Proposal,,Air Map,"""Okay, so do the map next then?"""
8.Orange.106,05:45.2,05:45.5,00:00.3,,Agreement,,,"""Yeah."""
8.Orange.107,05:45.5,05:47.8,00:02.4,,,,Chocolate Bar,"""Plus one family sized chocolate bar doesn't last."""
8.Green.79,05:47.8,05:49.8,00:02.0,,Confirmation,,Air Map,"""Okay, so the air map is nine."""
8.Orange.108,05:48.6,05:49.1,00:00.4,,,,,"""You know."""
8.Orange.109,05:49.9,05:50.4,00:00.5,,,,,"""Yeah."""
8.Green.80,05:51.6,05:53.4,00:01.8,,,,,"""Okay, what was your guys' ten?"""
8.Blue.62,05:53.7,05:54.2,00:00.5,,,,,"""Uh."""
8.Orange.110,05:53.9,05:55.4,00:01.6,,,,,"""Don't forget we have to come back to five."""
8.Green.81,05:55.1,05:56.3,00:01.2,,,,,"""Yes, we'll come back to five."""
8.Orange.111,05:55.5,05:59.5,00:04.0,,,,,"""$ just cause if we're left with like the least important one then we have to put that."""
8.Green.82,05:58.8,06:00.4,00:01.6,Negative,,,,"""That would be very unfortunate $."""
8.Orange.112,06:00.1,06:01.4,00:01.3,"Positive, Negative",,,,"""Yeah $."""
8.Blue.63,06:01.2,06:05.3,00:04.1,,,Private,Shortening,"""I put can of shortening but I can't remember why."""
8.Green.83,06:03.2,06:03.7,00:00.5,,,,,"""Uh."""
8.Orange.113,06:03.9,06:04.9,00:01.0,,,,,"""I don't really know."""
8.Orange.114,06:04.9,06:05.7,00:00.8,Positive,,,,"""Yeah $."""
8.Orange.115,06:05.7,06:06.7,00:01.1,Positive,,,,"""It felt like a good idea."""
8.Green.84,06:06.4,06:08.7,00:02.3,,,Private,Rope,"""I had rope but that was just for that."""
8.Blue.64,06:08.2,06:11.3,00:03.2,,,,Shortening,"""Oh right, uh, it has a lot of energy cause of a lot of fat."""
8.Orange.116,06:11.5,06:14.0,00:02.6,,,,,"""Oh, so if we needed to, we could eat."""
8.Blue.65,06:11.9,06:12.4,00:00.5,,,,,"""Yeah."""
8.Blue.66,06:12.6,06:14.3,00:01.7,,,,"Chocolar Bar, Shortening","""A lot more than chocolate bar, so."""
8.Green.85,06:13.7,06:15.1,00:01.3,,,,Shortening,"""You can also use it to burn."""
8.Blue.67,06:15.0,06:15.4,00:00.4,,,,,"""Yeah."""
8.Green.86,06:15.5,06:16.2,00:00.7,,,,Shortening,"""Fat burns."""
8.Blue.68,06:16.2,06:16.7,00:00.5,,,,,"""Mhm."""
8.Orange.117,06:16.7,06:18.0,00:01.3,Positive,,,Shortening,"""Okay, I like shortening."""
8.Orange.118,06:18.3,06:20.8,00:02.5,,,Private,Shortening,"""That was my fifteen, but I feel like that makes more sense."""
8.Green.87,06:18.3,06:18.7,00:00.4,,,,,"""Okay."""
8.Green.88,06:19.2,06:19.8,00:00.6,,,,,"""That's for."""
8.Green.89,06:20.8,06:22.4,00:01.6,Positive,,Private,Shortening,"""That was my fifteen too $."""
8.Blue.69,06:20.9,06:21.4,00:00.4,,,,,"""Hm."""
8.Orange.119,06:22.1,06:23.2,00:01.1,Positive,,,,"""Yeah $."""
8.Green.90,06:22.4,06:24.7,00:02.4,,Proposal,,Shortening,"""Um, for te-so-ten is shortening?"""
8.Orange.120,06:24.6,06:25.1,00:00.5,,Agreement,,,"""Yeah."""
8.Green.91,06:25.2,06:25.6,00:00.4,,,,,"""Okay."""
8.Green.92,06:26.9,06:27.3,00:00.5,,,,,"""Alright."""
8.Green.93,06:28.1,06:29.6,00:01.5,,,Private,Flashlight,"""Eleven, I had the flashlight."""
8.Green.94,06:29.9,06:30.6,00:00.6,,,,,"""As eleven."""
8.Orange.121,06:30.6,06:31.7,00:01.1,,,Private,Newspaper,"""I had the newspaper."""
8.Blue.70,06:31.8,06:33.0,00:01.1,,,Private,Whiskey,"""I had the whiskey."""
8.Orange.122,06:33.8,06:38.9,00:05.1,,,,Newspaper,"""I thought, I think, for um... newspaper, I didn't think it was as important."""
8.Orange.123,06:38.9,06:44.9,00:06.0,,,,,"""Just cause if we have like trees and branches like there's kindling and stuff that can, if we're in the middle of the forest."""
8.Green.95,06:44.3,06:46.5,00:02.2,,,,,"""Could I just go back to five for one second?"""
8.Orange.124,06:46.3,06:47.1,00:00.8,,,,,"""Yeah, for sure."""
8.Blue.71,06:46.4,06:47.6,00:01.2,,,,,"""Sure, probably a good call."""
8.Green.96,06:46.9,06:50.9,00:04.0,,,,Cigarette Lighter,"""We cigar -- we have the cigarette lighter without the fluid but it has the flint in it."""
8.Blue.72,06:50.9,06:51.3,00:00.4,,,,,"""Mhm."""
8.Green.97,06:50.9,06:56.5,00:05.6,,Proposal,,"Newspaper, Whiskey","""The easiest, the easiest way to do something that is either the whiskey or the newspaper because it'll catch fire."""
8.Orange.125,06:51.4,06:53.0,00:01.6,,Proposal,,Whiskey,"""Do you want to -- whiskey?"""
