Participant,Start,End,Duration,Sentiment,Decision,Private,Survival Item,Sentence
26.Pink.27,01:38.4,01:40.6,00:02.2,,Agreement,Private,Flashlight,"""Yeah, I also had that."""
26.Blue.10,01:38.7,01:39.6,00:00.9,,Agreement,,,"""Yeah."""
26.Pink.28,01:42.7,01:44.8,00:02.1,,,,,"""Um, what else, where are we?"""
26.Blue.11,01:43.9,01:45.9,00:01.9,,Proposal,,Shirt/Pants,"""Clothing for four?"""
26.Pink.29,01:45.8,01:46.6,00:00.8,,Agreement,,,"""Yeah."""
26.Orange.19,01:47.1,01:50.2,00:03.1,,Agreement,,,"""Cause then once you're making your way -- yeah."""
26.Pink.30,01:48.2,01:50.8,00:02.5,,Agreement,,,"""You can like layer up too, yeah."""
26.Blue.12,01:49.3,01:50.2,00:00.8,,,,,"""Yeah."""
26.Orange.20,01:51.0,01:51.9,00:00.9,,Confirmation,,,"""Four?"""
26.Pink.31,01:52.5,01:54.8,00:02.3,,,,,"""Um, what else do we have?"""
26.Blue.13,01:58.0,01:59.9,00:01.9,,Proposal,,Knife,"""We can do a knife for five."""
26.Pink.32,01:59.9,02:00.7,00:00.8,,Agreement,,,"""Yeah."""
26.Pink.33,02:00.9,02:05.9,00:04.9,,Agreement,,Knife,"""Yeah they can use it to like kinda put it -- make something for a fire."""
26.Orange.21,02:02.3,02:03.4,00:01.1,,Agreement,,,"""Mhm."""
26.Orange.22,02:05.3,02:06.1,00:00.8,,,,,"""Mhm."""
26.Orange.23,02:07.6,02:08.3,00:00.7,,Confirmation,,,"""Five?"""
26.Orange.24,02:08.9,02:10.0,00:01.1,,,,,"""And then."""
26.Pink.34,02:11.3,02:14.5,00:03.2,,Proposal,,Air Map,"""Should we do the, um, air map thing?"""
26.Pink.35,02:15.1,02:17.9,00:02.9,,,,Air Map,"""Cause we could use it I guess as a tarp or something."""
26.Orange.25,02:17.0,02:17.8,00:00.9,,,,Air Map,"""Tarp."""
26.Blue.14,02:17.8,02:18.4,00:00.6,,Agreement,,,"""Yeah."""
26.Pink.36,02:17.9,02:19.1,00:01.2,,,,Air Map,"""Yeah, for shelter?"""
26.Orange.26,02:20.1,02:24.1,00:04.0,,Proposal,,Ski Poles,"""And to help that, we-maybe the two ski poles to hold it up."""
26.Pink.37,02:24.5,02:25.6,00:01.1,,Agreement,,,"""Sure, yeah."""
26.Blue.15,02:25.7,02:26.8,00:01.1,,,,,"""What about like food?"""
26.Blue.16,02:26.8,02:28.0,00:01.2,,Proposal,,Shortening,"""Like can of shortening."""
26.Pink.38,02:28.8,02:30.6,00:01.8,,,Private,Shortening,"""I had that as my last one $."""
26.Orange.27,02:30.4,02:31.1,00:00.7,,,Private,Shortening,"""Me too."""
26.Orange.28,02:31.1,02:32.2,00:01.1,,,,Shortening,"""What is can of shortening?"""
26.Orange.29,02:32.2,02:33.1,00:00.9,,,,,"""It's not --"""
26.Pink.39,02:32.2,02:34.4,00:02.2,,,,Shortening,"""It's like, they use it in baking, it's like --"""
26.Orange.30,02:34.0,02:35.8,00:01.8,,,,Shortening,"""It's used in baking but it's not food."""
26.Orange.31,02:35.8,02:36.6,00:00.7,,,,,"""You know what I mean?"""
26.Blue.17,02:36.0,02:36.6,00:00.6,,,,,"""Mhm."""
26.Pink.40,02:36.8,02:37.6,00:00.8,,,,,"""Yeah."""
26.Orange.32,02:37.4,02:39.6,00:02.2,,,,Shortening,"""Cause it's bak -- basically kinda like baking soda?"""
26.Orange.33,02:39.6,02:40.1,00:00.5,,,,Shortening,"""Isn't it?"""
26.Pink.41,02:39.9,02:45.9,00:06.0,,,,Shortening,"""I feel like it's like... isn't it like fat or something?"""
26.Orange.34,02:40.9,02:42.9,00:02.0,,,,Shortening,"""A powder of some sort."""
26.Orange.35,02:45.3,02:46.1,00:00.8,,,,Shortening,"""It's fat?"""
26.Pink.42,02:46.5,02:47.3,00:00.8,,,,,"""Like."""
26.Orange.36,02:46.7,02:48.1,00:01.4,,,,Shortening,"""Then again, it's not very edible."""
26.Blue.18,02:47.7,02:49.3,00:01.6,,,,Shortening,"""I have no idea what it is $."""
26.Orange.37,02:48.1,02:48.8,00:00.7,,,,,"""Yeah what's more?"""
26.Orange.38,02:49.3,02:54.2,00:04.9,,Proposal,,Ski Poles,"""So, I would say -- so would you put sk-ski poll as seven to help with the thing?"""
26.Pink.43,02:53.1,02:53.8,00:00.7,,Agreement,,,"""Yeah."""
26.Pink.44,02:53.8,02:55.1,00:01.3,,Proposal,,Rope,"""And then I think we should do rope."""
26.Pink.45,02:55.1,02:57.1,00:02.0,,,,Rope,"""Cause thirty feet of rope is a lot of rope."""
26.Pink.46,02:57.1,02:59.0,00:01.9,,,,Rope,"""And we can use it for lots of things."""
26.Orange.39,02:57.1,02:58.4,00:01.3,,,,,"""Oh, you --"""
26.Blue.19,02:58.2,02:58.9,00:00.7,,Agreement,,,"""Yeah."""
26.Orange.40,02:58.4,03:00.6,00:02.2,,"Proposal, Disagreement",,Chocolate Bar,"""Would you put the chocolate bar before that?"""
26.Blue.20,03:00.5,03:01.9,00:01.4,,Agreement,,,"""Yes."""
26.Pink.47,03:00.7,03:01.6,00:01.0,,Disagreement,,,"""No."""
26.Blue.21,03:01.9,03:03.7,00:01.9,,Agreement,,Chocolate Bar,"""Cause they need something to eat."""
26.Pink.48,03:04.6,03:05.2,00:00.6,,,,,"""I don't know."""
26.Pink.49,03:05.2,03:09.2,00:03.9,,Disagreement,,Chocolate Bar,"""I feel like it'd be better to have equipment than to have chocolate."""
26.Pink.50,03:09.2,03:11.9,00:02.8,,Disagreement,,Chocolate Bar,"""Cause that would only last for a short period of time."""
26.Orange.41,03:12.0,03:14.6,00:02.6,,,,Chocolate Bar,"""But at least it's like something, right?"""
26.Pink.51,03:14.7,03:19.6,00:04.9,,,,,"""They can eat like stuff on the, wherever they are, like $ they can hunt and gather."""
26.Pink.52,03:19.6,03:20.6,00:01.0,,,,,"""I don't know."""
26.Pink.53,03:20.6,03:26.2,00:05.6,,,,Chocolate Bar,"""I just feel like the chocolate bar would just be like a spike of energy and then you would crash and it wouldn't be sustainable."""
26.Blue.22,03:26.2,03:26.7,00:00.5,,,,,"""Mhm."""
26.Orange.42,03:26.7,03:28.0,00:01.3,,,,,"""What do you think about it?"""
26.Orange.43,03:28.0,03:30.7,00:02.7,,,,Chocolate Bar,"""Do you think chocolate bar is more necessary than?"""
26.Blue.23,03:28.8,03:29.7,00:01.0,,,,,"""Mhm."""
26.Blue.24,03:31.1,03:33.5,00:02.4,,Proposal,,"Chocolate Bar, Rope","""I think rope and then chocolate bar."""
26.Orange.44,03:33.7,03:34.6,00:00.9,,Agreement,,Rope,"""Rope, okay."""
26.Blue.25,03:34.1,03:35.0,00:00.8,,,,,"""Yeah."""
26.Orange.45,03:34.6,03:36.9,00:02.3,,Confirmation,,Rope,"""We can do that, so eight."""
26.Orange.46,03:36.9,03:38.6,00:01.6,,Confirmation,,Chocolate Bar,"""And then chocolate bar would be nine?"""
26.Blue.26,03:38.7,03:39.3,00:00.6,,Agreement,,,"""Mhm."""
26.Pink.54,03:38.8,03:39.2,00:00.5,,Agreement,,,"""Sure."""
26.Orange.47,03:40.0,03:41.3,00:01.4,,,,,"""Okay, nine."""
26.Pink.55,03:42.6,03:46.6,00:04.0,,Proposal,,Pistol,"""Uh, what do you guys think about the, um, the caliber pistol?"""
26.Pink.56,03:47.1,03:55.0,00:07.9,,,,Pistol,"""I was thinking like if they got closer to the village, they could use it as a way to like direct attention."""
26.Blue.27,03:54.5,03:55.9,00:01.4,,Agreement,,,"""Yeah."""
26.Orange.48,03:54.7,03:55.8,00:01.1,,Agreement,,,"""Mhm."""
26.Orange.49,03:55.8,03:58.5,00:02.7,,,,Pistol,"""And it's loaded so it's [unclear]."""
26.Orange.50,04:00.5,04:08.6,00:08.1,,,,"Cigarette Lighter, Newspaper","""I don't think the newspaper for one $ person or the cigarette lighter without fluid would be much of a help."""
26.Blue.28,04:08.5,04:10.6,00:02.1,,,Private,Newspaper,"""I wrote newspaper as fifteen."""
26.Orange.51,04:10.4,04:12.0,00:01.6,,,,,"""Yeah."""
26.Orange.52,04:12.2,04:16.4,00:04.2,,Proposal,,"Pistol, Whiskey","""So, would the whiskey be next after the pistol?"""
26.Pink.57,04:13.4,04:14.3,00:01.0,,,,,"""I had --"""
26.Pink.58,04:15.4,04:16.2,00:00.9,,,,,"""Hm."""
26.Pink.59,04:16.6,04:20.4,00:03.9,,"Proposal, Disagreement",,Newspaper,"""But I feel like with like making the fire you could use the newspaper."""
26.Blue.29,04:20.4,04:21.0,00:00.6,,Agreement,,,"""True."""
26.Pink.60,04:20.8,04:23.7,00:02.9,,,,Whiskey,"""And also you could use the whiskey for the fire."""
26.Pink.61,04:23.9,04:26.7,00:02.8,,Proposal,,"Newspaper, Whiskey","""I feel like we could put those two next."""
26.Pink.62,04:26.7,04:27.2,00:00.5,,,,,"""I don't know."""
26.Orange.53,04:27.3,04:27.9,00:00.7,,Agreement,,,"""Yeah, okay."""
26.Orange.54,04:27.9,04:30.6,00:02.7,,Confirmation,,Whiskey,"""So, ten and then eleven for whiskey."""
26.Pink.63,04:30.9,04:31.5,00:00.6,,Agreement,,,"""Sure."""
26.Orange.55,04:31.5,04:33.0,00:01.5,,,,Whiskey,"""Cause we can also drink it I guess."""
26.Orange.56,04:33.0,04:37.9,00:04.9,,Proposal,,Cigarette Lighter,"""And then twelve for the cigarette lighter without the fluid."""
26.Orange.57,04:37.9,04:38.9,00:01.1,,Proposal,,Newspaper,"""Or is it newspaper?"""
26.Pink.64,04:38.9,04:40.4,00:01.5,,Agreement,,Newspaper,"""Newspaper, yeah."""
26.Orange.58,04:40.3,04:43.4,00:03.0,,Proposal,,Cigarette Lighter,"""And we'll put thirteen cigarette."""
26.Blue.30,04:42.0,04:43.3,00:01.3,,Agreement,,Cigarette Lighter,"""Cigarette lighter."""
26.Pink.65,04:43.3,04:44.0,00:00.7,,Agreement,,,"""Hm."""
26.Orange.59,04:44.5,04:45.6,00:01.1,,,,,"""And then --"""
26.Pink.66,04:45.3,04:46.1,00:00.8,,,,,"""What's left?"""
26.Orange.60,04:46.2,04:47.9,00:01.7,,,,"Shortening, Steel Wool","""Ball of steel and then shortening."""
26.Orange.61,04:47.9,04:49.7,00:01.8,,,,,"""Cause I don't think you can do anything with --"""
26.Pink.67,04:50.8,04:53.3,00:02.5,,,,"Shortening, Steel Wool","""I don't think you can do anything with either of them $."""
26.Blue.31,04:52.6,04:53.3,00:00.7,,,,,"""Yeah."""
26.Blue.32,04:54.0,04:57.3,00:03.4,,,,Steel Wool,"""Steel wool you could use to like make stuff."""
26.Blue.33,04:57.3,04:59.2,00:01.9,,,,,"""But I don't know what you would make $."""
26.Pink.68,04:57.5,05:00.4,00:02.9,,,,,"""Yeah I don't know what you would make, yeah, to make."""
26.Pink.69,05:01.8,05:03.0,00:01.2,,,,,"""Um."""
26.Orange.62,05:03.0,05:05.0,00:01.9,,,,"Shortening, Steel Wool","""Which one do you think is more important than the other?"""
26.Pink.70,05:04.9,05:06.6,00:01.7,,Proposal,,Shortening,"""Maybe the shortening."""
26.Pink.71,05:06.9,05:10.7,00:03.7,,,,Shortening,"""Just because I guess if they're really desperate they can eat it."""
26.Pink.72,05:11.2,05:11.9,00:00.7,,,,,"""$"""
26.Orange.63,05:12.0,05:12.8,00:00.9,,Agreement,,,"""Okay."""
26.Orange.64,05:13.1,05:17.4,00:04.3,,Confirmation,,"Shortening, Steel Wool","""So, that'd be fourteen and fifteen."""
26.Pink.73,05:17.4,05:18.1,00:00.7,,,,,"""Yeah."""
26.Orange.65,05:18.3,05:19.2,00:00.9,,,,,"""Okay."""
