Participant,Start,End,Duration,Sentiment ,Decision ,Sentence
9.Green.24,01:17.1,01:18.7,00:01.6,,,"""Flashlight with batteries."""
9.Pink.23,01:18.7,01:19.2,00:00.5,,,"""Mhm."""
9.Blue.13,01:19.5,01:20.2,00:00.7,,,"""I lost mine."""
9.Blue.14,01:20.2,01:20.7,00:00.5,,,"""The rope."""
9.Green.25,01:21.9,01:22.8,00:00.9,,,"""Um."""
9.Green.26,01:22.8,01:24.8,00:02.0,,,"""Nine for me was rope."""
9.Pink.24,01:25.2,01:26.6,00:01.4,,,"""Oh, I have the-the pistol."""
9.Blue.15,01:26.6,01:27.4,00:00.8,,,"""Me too."""
9.Green.27,01:28.2,01:31.4,00:03.2,,,"""I, uh, um, ten was pistol for me."""
9.Pink.25,01:31.4,01:31.8,00:00.4,,,"""Mhm."""
9.Blue.16,01:31.9,01:32.8,00:00.9,,,"""Compress kit."""
9.Blue.17,01:32.8,01:33.0,00:00.2,Positive,,"""$"""
9.Pink.26,01:33.2,01:37.4,00:04.1,Positive,,"""I-m -- got the sectional air map but I-I-I don't really know $ like."""
9.Green.28,01:36.8,01:38.4,00:01.6,,,"""You can't use it for anything."""
9.Pink.27,01:37.9,01:39.0,00:01.2,,,"""Yeah I know."""
9.Green.29,01:38.4,01:39.5,00:01.1,,,"""It's just of the plane."""
9.Green.30,01:39.5,01:40.0,00:00.4,Positive,,"""$"""
9.Pink.28,01:40.3,01:41.3,00:01.0,,,"""Is it just of the plane?"""
9.Pink.29,01:41.3,01:42.0,00:00.7,,,"""I thought the --"""
9.Green.31,01:41.5,01:46.1,00:04.6,,,"""Yeah, it's the little plastic thing you use for evacu -- like on the safety, uh, instructions."""
9.Pink.30,01:45.6,01:46.3,00:00.7,,,"""Oh."""
9.Green.32,01:46.4,01:48.8,00:02.4,Negative,,"""It literally does nothing for you."""
9.Pink.31,01:47.0,01:48.7,00:01.7,Positive,,"""$"""
9.Blue.18,01:49.1,01:49.5,00:00.4,Positive,,"""$"""
9.Pink.32,01:49.8,01:50.7,00:00.9,,,"""Okay."""
9.Pink.33,01:50.7,01:51.6,00:00.9,Negative,,"""Well I'm dead."""
9.Green.33,01:51.7,01:53.0,00:01.3,,,"""Yeah well."""
9.Pink.34,01:51.7,01:55.5,00:03.8,Positive & Negative,,"""$"""
9.Green.34,01:53.7,01:59.8,00:06.0,,,"""Uh, uh, uh, honestly the compass thing I feel is like well in hindsight would you actually want to leave the crash site, but whatever."""
9.Pink.35,01:59.8,02:00.8,00:01.0,,,"""Yeah, yeah."""
9.Green.35,02:00.9,02:02.8,00:01.9,,,"""Um, eleven."""
9.Pink.36,02:02.1,02:02.7,00:00.6,,,"""Eleven."""
9.Green.36,02:03.2,02:04.2,00:01.0,,,"""Ball of steel wool."""
9.Green.37,02:04.2,02:06.0,00:01.8,,,"""I-I knew you could use it for something."""
9.Green.38,02:06.0,02:07.1,00:01.1,,,"""I'm just not sure what."""
9.Pink.37,02:07.2,02:08.5,00:01.3,,,"""You could probably get sparks off of it."""
9.Green.39,02:08.7,02:10.0,00:01.3,,,"""That's what I was kind of hoping."""
9.Green.40,02:10.0,02:10.9,00:01.0,,,"""But I'm not sure."""
9.Green.41,02:11.2,02:12.1,00:00.9,,,"""Yourself?"""
9.Blue.19,02:12.2,02:13.6,00:01.4,,,"""Uh, yeah, steel wool."""
9.Pink.38,02:13.5,02:14.4,00:01.0,,,"""I put the-the rope."""
9.Green.42,02:14.7,02:15.3,00:00.5,,,"""Yeah."""
9.Green.43,02:15.3,02:18.0,00:02.8,,,"""Uh, twelve was newspaper cause you can burn it."""
9.Pink.39,02:18.0,02:18.4,00:00.4,,,"""Mhm."""
9.Pink.40,02:18.5,02:19.2,00:00.8,,,"""I got the whiskey."""
9.Green.44,02:19.1,02:20.1,00:01.1,,,"""You can use it as kindling."""
9.Green.45,02:20.3,02:21.9,00:01.6,,,"""Uh, yours?"""
9.Blue.20,02:22.2,02:23.2,00:01.1,,,"""Cigarette lighter."""
9.Pink.41,02:23.2,02:23.7,00:00.4,,,"""Mhm."""
9.Green.46,02:23.8,02:27.1,00:03.4,,,"""Uh, thirteen was two ski poles."""
9.Green.47,02:27.1,02:28.4,00:01.2,,,"""I'm not really sure what."""
9.Pink.42,02:27.5,02:29.5,00:02.0,,,"""That's on -- that's on the last one for like everyone right?"""
9.Green.48,02:29.7,02:31.6,00:02.0,,,"""Uh, almo -- we're getting -- we're getting there."""
9.Blue.21,02:30.5,02:31.8,00:01.3,,,"""Yeah, that's my fifteen."""
9.Green.49,02:31.7,02:32.7,00:01.0,,,"""We're getting there."""
9.Pink.43,02:32.0,02:32.9,00:01.0,,,"""That's my fourteen."""
9.Green.50,02:33.0,02:34.7,00:01.7,,,"""Yeah that's, uh, my thirteen."""
9.Pink.44,02:33.2,02:33.6,00:00.4,Positive,,"""$"""
9.Blue.22,02:34.7,02:36.4,00:01.6,,,"""I had newspaper for thirteen."""
9.Green.51,02:36.3,02:38.3,00:02.0,,,"""Fourteen was cigarette lighter without the fluid."""
9.Green.52,02:38.3,02:40.0,00:01.7,,,"""Cause I figured you couldn't use it for nothing."""
9.Pink.45,02:39.9,02:40.5,00:00.5,,,"""Mhm."""
9.Blue.23,02:40.7,02:42.0,00:01.4,,,"""Mine was the air map."""
9.Green.53,02:41.1,02:41.8,00:00.7,,,"""Uh."""
9.Pink.46,02:42.6,02:43.0,00:00.4,Positive,,"""$"""
9.Green.54,02:42.8,02:44.9,00:02.1,Positive,,"""Yeah, fifteen was the sectional air map."""
9.Green.55,02:44.9,02:47.4,00:02.5,Positive,,"""Because I don't even use that when the plane isn't crashed, so."""
9.Pink.47,02:47.3,02:48.2,00:01.0,Positive,,"""$"""
9.Pink.48,02:48.5,02:50.3,00:01.8,,,"""Fifteen I got ball of steel wool."""
9.Pink.49,02:50.3,02:54.1,00:03.8,Positive,,"""Because you don't -- what are you going to clean, you know?"""
9.Green.56,02:50.6,02:51.1,00:00.5,,,"""Yeah."""
9.Pink.50,02:54.1,02:54.8,00:00.7,Positive,,"""$"""
9.Green.57,02:54.2,03:01.1,00:06.8,,,"""Okay, so, I think we can, uh, just discuss which one we want to rank it as as a group then, so."""
9.Blue.24,02:54.6,02:54.9,00:00.4,Positive,,"""$"""
9.Green.58,03:01.3,03:04.8,00:03.5,,Proposal,"""For number one, I think pretty much all universal is the compass."""
9.Pink.51,03:04.8,03:06.0,00:01.2,,Agreement,"""Yeah let's do the compass."""
9.Blue.25,03:05.4,03:05.8,00:00.5,,Agreement,"""Yeah."""
9.Pink.52,03:07.5,03:08.9,00:01.4,,,"""Oh, we can write it on here, can't we?"""
9.Green.59,03:08.8,03:09.6,00:00.8,,,"""Oh yeah."""
9.Green.60,03:10.7,03:11.9,00:01.2,,,"""Compass number one."""
9.Green.61,03:11.9,03:16.3,00:04.4,,,"""So for number two, we are going to say, uh, what?"""
9.Green.62,03:16.3,03:17.7,00:01.5,,Proposal,"""I said extra clothes."""
9.Blue.26,03:17.5,03:18.3,00:00.8,,Agreement,"""So did I."""
9.Pink.53,03:17.9,03:19.7,00:01.8,,Agreement,"""Yeah we -- let's do extra clothes."""
9.Green.63,03:20.5,03:22.1,00:01.6,,,"""Number three was?"""
9.Pink.54,03:21.9,03:22.9,00:00.9,,Proposal,"""The compress kit."""
9.Green.64,03:22.7,03:23.4,00:00.8,,Agreement,"""Yeah."""
9.Green.65,03:24.3,03:25.4,00:01.1,,,"""Although no one was injured."""
9.Green.66,03:25.4,03:29.1,00:03.7,Negative,,"""But I-I wouldn't -- I wouldn't count on people not staying uninjured."""
9.Pink.55,03:25.9,03:27.2,00:01.2,Negative,,"""Yeah well, who knows."""
9.Pink.56,03:27.2,03:28.0,00:00.8,Positive & Negative,,"""$"""
9.Green.67,03:29.1,03:30.0,00:00.9,,,"""Four was?"""
9.Pink.57,03:30.8,03:33.8,00:03.0,,Proposal,"""Uh, I put flashlight with batteries."""
9.Blue.27,03:33.6,03:34.4,00:00.8,,Agreement,"""So did I."""
9.Green.68,03:34.7,03:35.6,00:00.8,,Agreement,"""Uh, fine."""
9.Green.69,03:35.6,03:38.8,00:03.2,,Agreement,"""I'll-I'll-I'll-I'll buy with that just in case someone trips in the dark."""
9.Pink.58,03:37.2,03:37.5,00:00.3,,,"""Okay."""
9.Green.70,03:39.4,03:43.5,00:04.1,,Proposal,"""Five was family sized bar of chocolate."""
9.Pink.59,03:43.4,03:44.7,00:01.3,,,"""You guys both said that didn't you?"""
9.Blue.28,03:44.6,03:45.3,00:00.7,,Agreement,"""Yeah."""
9.Green.71,03:45.4,03:45.8,00:00.4,,,"""Yeah."""
9.Pink.60,03:45.5,03:47.1,00:01.7,,Agreement,"""Okay, okay, yeah, we will go with that then."""
9.Green.72,03:46.8,03:48.5,00:01.7,Positive,,"""Hey chocolate makes you happy."""
9.Pink.61,03:48.3,03:49.1,00:00.8,Positive,,"""$"""
9.Green.73,03:50.2,03:52.3,00:02.1,,,"""Six was for me whiskey."""
9.Blue.29,03:53.2,03:53.9,00:00.7,,,"""Shortening."""
9.Pink.62,03:53.9,03:55.2,00:01.2,,,"""$ Newspaper."""
9.Green.74,03:56.2,04:02.0,00:05.8,,,"""Okay so newspaper, uh whiskey disinfectant, shortening you can eat it."""
9.Pink.63,03:56.2,03:57.1,00:00.9,,,"""Oh."""
9.Green.75,04:02.0,04:03.8,00:01.8,,Proposal,"""I'm going to say disinfectant because --"""
9.Pink.64,04:03.4,04:05.0,00:01.6,,Agreement,"""I'm going to say yeah I should probably --"""
9.Blue.30,04:05.0,04:07.5,00:02.5,,Disagreement,"""But would there be a disinfectant in the compress kit?"""
9.Green.76,04:07.8,04:08.7,00:00.9,,,"""Mm."""
9.Pink.65,04:09.2,04:10.0,00:00.8,,,"""I don't know."""
9.Green.77,04:11.4,04:13.6,00:02.3,,,"""Eh, uh-uh, I'm going to say --"""
9.Green.78,04:14.9,04:17.8,00:02.9,,,"""Actually, no, I'm not actually sure if there is disinfectant so."""
9.Pink.66,04:16.4,04:17.1,00:00.7,,,"""I don't know."""
9.Blue.31,04:17.8,04:18.8,00:00.9,,,"""I have no idea."""
9.Green.79,04:19.5,04:21.6,00:02.1,Positive,,"""Okay, rock paper scissors it?"""
9.Pink.67,04:19.7,04:20.6,00:00.9,,,"""Let's play it safe."""
9.Pink.68,04:20.6,04:21.5,00:01.0,,,"""Let's just bring the whiskey."""
9.Pink.69,04:21.5,04:22.2,00:00.7,Positive,,"""$"""
9.Blue.32,04:21.7,04:22.7,00:00.9,Positive,,"""$"""
9.Green.80,04:22.6,04:24.0,00:01.4,Positive,,"""Come on, it's life or death."""
9.Blue.33,04:23.4,04:24.2,00:00.8,,,"""Alright."""
9.Green.81,04:27.1,04:28.6,00:01.5,,,"""Whiskey it is."""
9.Pink.70,04:27.5,04:28.2,00:00.7,Positive,,"""$"""
9.Blue.34,04:28.3,04:28.9,00:00.6,,,"""Okay."""
9.Pink.71,04:29.6,04:30.5,00:00.9,Positive,,"""$"""
9.Pink.72,04:30.5,04:33.6,00:03.2,Positive,,"""If it has -- if the compress kit has disinfectant at least we can get drunk."""
9.Green.82,04:33.8,04:35.7,00:01.9,,Proposal,"""And seven was knife for me."""
9.Pink.73,04:36.1,04:37.4,00:01.3,,Agreement,"""Yeah, I had knife too."""
9.Blue.35,04:37.5,04:39.0,00:01.5,,,"""That was my number three, so."""
9.Green.83,04:39.1,04:40.7,00:01.6,,Confirmation,"""Okay, so it is knife."""
9.Green.84,04:42.1,04:42.7,00:00.6,,,"""Eight?"""
9.Pink.74,04:44.3,04:45.2,00:00.9,,,"""Uh."""
9.Blue.36,04:45.2,04:46.0,00:00.9,,,"""I put rope."""
9.Green.85,04:46.0,04:46.7,00:00.8,,,"""Flashlight."""
9.Green.86,04:46.7,04:47.7,00:00.9,,,"""So we already got that."""
9.Pink.75,04:47.7,04:48.6,00:00.9,,Proposal,"""Okay, let's do the rope then."""
9.Pink.76,04:48.6,04:49.8,00:01.2,,,"""Cause I had the chocolate bar."""
9.Green.87,04:50.0,04:51.8,00:01.8,Positive,Agreement,"""Yeah, in case we have to tie up somebody."""
9.Green.88,04:51.8,04:52.1,00:00.4,Positive,,"""$"""
9.Pink.77,04:52.1,04:52.8,00:00.7,Positive,,"""$"""
9.Green.89,04:52.9,04:55.5,00:02.6,,,"""I-I don't know -- I don't plan on leaving the site or somebody."""
9.Pink.78,04:55.3,04:56.0,00:00.7,,,"""Yeah."""
9.Green.90,04:55.5,04:56.8,00:01.3,,,"""You could use it for shelter."""
9.Pink.79,04:57.8,04:59.3,00:01.4,,,"""Uh, nine?"""
9.Green.91,04:58.5,04:59.3,00:00.8,,,"""Uh, nine?"""
9.Blue.37,04:59.2,05:00.0,00:00.7,,Proposal,"""Pistol."""
9.Pink.80,05:00.1,05:01.2,00:01.1,,Agreement,"""I had the pistol too."""
9.Green.92,05:01.7,05:02.6,00:00.9,,,"""Mine was rope."""
9.Green.93,05:02.6,05:04.1,00:01.5,,Agreement,"""So, yeah, sure I'll go with pistol."""
9.Green.94,05:04.1,05:06.4,00:02.3,,,"""Mine's -- that's ten for me so it's not too far off."""
9.Pink.81,05:06.2,05:06.8,00:00.6,,,"""Okay."""
9.Green.95,05:08.0,05:09.3,00:01.2,,,"""Uh, ten was?"""
9.Pink.82,05:08.8,05:10.1,00:01.3,,,"""Sectional air map."""
9.Pink.83,05:10.2,05:11.0,00:00.9,Positive,,"""$"""
9.Blue.38,05:10.6,05:12.0,00:01.4,,,"""Mine's the compress kit."""
9.Green.96,05:12.6,05:17.3,00:04.8,,,"""And mine was a -- sorry, where was I, I lost track -- uh, a pistol."""
9.Green.97,05:17.3,05:19.2,00:01.9,,,"""So we got a lot of divergence here."""
9.Pink.84,05:18.0,05:19.4,00:01.3,,,"""Okay okay."""
9.Green.98,05:19.2,05:23.6,00:04.4,,Proposal,"""Um well s -- my next one was steel wool because --"""
9.Blue.39,05:23.1,05:23.8,00:00.8,,Agreement,"""Mm."""
9.Pink.85,05:24.0,05:24.5,00:00.5,,Agreement,"""Mhm."""
9.Blue.40,05:24.1,05:25.2,00:01.1,,Agreement,"""Yeah, mine was too."""
9.Green.99,05:25.4,05:27.2,00:01.8,,Proposal,"""So want to just default to that?"""
9.Pink.86,05:25.4,05:26.9,00:01.5,,Confirmation,"""Okay, steel wool then."""
9.Green.100,05:28.2,05:32.6,00:04.4,,Confirmation,"""Okay, eleven was ball of steel wool."""
9.Green.101,05:32.6,05:34.4,00:01.8,,,"""So twelve for me was newspaper."""
9.Blue.41,05:34.5,05:36.3,00:01.8,,,"""Mine was the cigarette lighter."""
9.Green.102,05:36.9,05:37.8,00:01.0,,,"""Yours was?"""
9.Pink.87,05:37.6,05:39.1,00:01.5,,,"""Uh the -- mine was the whiskey."""
9.Pink.88,05:40.1,05:43.9,00:03.8,,,"""Okay, so between the newspaper and the cigarette lighter, what are we going to get more use out of?"""
9.Green.103,05:44.5,05:46.3,00:01.8,,Proposal,"""I'm going to vote the cigarette lighter."""
9.Pink.89,05:46.0,05:47.9,00:01.9,,Agreement,"""Yeah probably the -- probably the cigarette lighter."""
9.Blue.42,05:46.4,05:47.5,00:01.1,,Agreement,"""Yeah probably."""
9.Pink.90,05:47.9,05:48.8,00:00.9,,,"""Okay we will do that one."""
9.Pink.91,05:48.8,05:50.4,00:01.6,,Proposal,"""And then do you guys want to do newspaper for the next one?"""
9.Pink.92,05:51.0,05:52.1,00:01.0,,,"""Or is that what you guys had?"""
9.Green.104,05:52.1,05:52.7,00:00.5,,Agreement,"""Sure."""
9.Pink.93,05:52.6,05:53.2,00:00.6,,,"""Okay."""
9.Blue.43,05:53.0,05:53.5,00:00.5,,Agreement,"""Sure."""
9.Green.105,05:53.9,05:55.7,00:01.8,,Agreement,"""Yeah twelve is newspaper for me so."""
9.Pink.94,05:55.7,05:56.1,00:00.4,,,"""Okay."""
9.Pink.95,05:57.1,05:57.9,00:00.8,,,"""Thirteen?"""
9.Pink.96,05:58.7,06:00.2,00:01.5,,,"""I had can of shortening."""
9.Green.106,05:58.9,06:02.2,00:03.2,,,"""S-t -- Two skil -- two ski poles."""
9.Pink.97,06:02.4,06:03.2,00:00.8,,,"""Yeah."""
9.Green.107,06:02.9,06:07.5,00:04.7,,Proposal,"""I'm going to say can of shortening cause it is more useful to have something you can eat than two ski poles."""
9.Pink.98,06:07.3,06:08.7,00:01.4,,Agreement,"""Yeah I d - yeah."""
9.Blue.44,06:07.5,06:08.1,00:00.6,,Agreement,"""Yeah."""
9.Pink.99,06:12.0,06:13.8,00:01.9,,,"""Okay and then fourteen?"""
9.Green.108,06:12.6,06:13.8,00:01.2,,,"""Fourteen?"""
9.Green.109,06:14.1,06:14.8,00:00.8,,,"""Ski poles."""
9.Pink.100,06:14.7,06:15.9,00:01.2,,,"""Or the air map."""
9.Green.110,06:14.8,06:16.5,00:01.7,,,"""Sectional air map."""
9.Green.111,06:16.5,06:17.2,00:00.6,,,"""Yeah okay."""
9.Blue.45,06:17.5,06:20.0,00:02.5,,,"""I mean both of those are like equally useless."""
9.Green.112,06:20.0,06:23.0,00:03.0,,,"""Yeah like I guess with the ski poles if someone broke their leg."""
9.Pink.101,06:22.4,06:24.3,00:01.9,,,"""Yeah you can like tie it up or something."""
9.Green.113,06:23.9,06:29.2,00:05.2,,,"""Same with and -- you could say the same for a smaller point free sectional map."""
9.Blue.46,06:25.1,06:26.1,00:01.0,Positive,,"""You should leave em."""
9.Blue.47,06:26.1,06:26.5,00:00.4,Positive,,"""$"""
9.Green.114,06:29.2,06:30.6,00:01.4,,,"""But I don't know."""
9.Pink.102,06:30.2,06:31.0,00:00.8,Positive,,"""$"""
9.Green.115,06:30.6,06:33.1,00:02.5,Negative,,"""I just have a disposition against sectional maps."""
9.Pink.103,06:32.8,06:33.9,00:01.1,Positive,,"""$"""
