Participant,Start,End,Duration,Sentiment ,Decision ,Sentence
2.Blue.16,01:01.9,01:03.1,00:01.2,,,"""Oh my whiskey."""
2.Blue.17,01:03.1,01:04.5,00:01.4,,,"""So that I could light a fire."""
2.Pink.22,01:04.1,01:06.1,00:02.0,,Proposal,"""Okay so then we'll do five and six for that. """
2.Pink.23,01:06.2,01:08.7,00:02.5,,,"""So then it's worth having a lighter, right."""
2.Blue.18,01:07.4,01:08.2,00:00.8,,Agreement,"""Yeah."""
2.Pink.24,01:09.4,01:10.1,00:00.7,,,"""Um."""
2.Blue.19,01:10.0,01:10.9,00:00.9,,,"""And then..."""
2.Pink.25,01:11.0,01:13.3,00:02.3,,,"""Seven I had sectional air map."""
2.Blue.20,01:13.8,01:18.9,00:05.1,,Proposal,"""Okay we both thought a pistol was more important than a map so put that next."""
2.Pink.26,01:17.0,01:18.6,00:01.6,,Agreement,"""Oh yeah s- yeah."""
2.Blue.21,01:18.9,01:19.9,00:01.0,,,"""We're on seven?"""
2.Pink.27,01:19.5,01:20.3,00:00.8,,,"""Seven, yep."""
2.Blue.22,01:20.9,01:22.1,00:01.2,,,"""And then..."""
2.Pink.28,01:20.9,01:21.7,00:00.9,,,"""And then..."""
2.Pink.29,01:22.2,01:24.9,00:02.7,,Proposal,"""I agree with the compass being eight because you have eight."""
2.Blue.23,01:24.5,01:28.0,00:03.5,,Agreement & Proposal,"""Yeah and then the map after that I think."""
2.Pink.30,01:27.8,01:29.2,00:01.4,,Proposal,"""So number nine for the map."""
2.Pink.31,01:31.1,01:31.8,00:00.7,,,"""Um."""
2.Blue.24,01:31.7,01:34.7,00:03.1,,,"""Sk -- okay ski polls seem really unimportant right?"""
2.Pink.32,01:34.7,01:35.6,00:01.0,,,"""Yeah."""
2.Blue.25,01:35.7,01:38.3,00:02.6,,Proposal,"""So why don't we put those last as fifteen?"""
2.Pink.33,01:38.7,01:39.2,00:00.5,,Agreement,"""Okay."""
2.Blue.26,01:39.2,01:42.2,00:02.9,,,"""And then like what would you do with a can of shortening?"""
2.Pink.34,01:42.5,01:43.6,00:01.1,,,"""I have no idea."""
2.Blue.27,01:43.6,01:46.7,00:03.1,Positive,Proposal,"""Yeah so let's put that second last $."""
2.Pink.35,01:45.1,01:45.6,00:00.5,,Agreement,"""Okay."""
2.Pink.36,01:46.6,01:47.9,00:01.2,,,"""And even with the newspaper."""
2.Pink.37,01:47.9,01:50.7,00:02.9,,,"""I guess we can -- with the newspaper, you can light the newspaper."""
2.Blue.28,01:50.3,01:51.4,00:01.1,,,"""That was what I thought too."""
2.Blue.29,01:51.4,01:56.1,00:04.7,,,"""But I feel like there'd be other things you can light on fire like trees and stuff yeah."""
2.Pink.38,01:54.1,01:55.8,00:01.7,,,"""I guess you're in the woods and stuff yeah."""
2.Blue.30,01:56.1,01:57.3,00:01.2,,,"""And chocolate bars."""
2.Pink.39,01:56.2,01:56.5,00:00.4,,,"""Okay."""
2.Blue.31,01:57.5,02:01.0,00:03.5,,,"""I mean like they're sugar and that's sort of important but."""
2.Pink.40,01:58.4,01:59.3,00:00.9,,,"""Something to eat."""
2.Pink.41,02:01.0,02:02.5,00:01.4,,Proposal,"""I think we should have a knife."""
2.Blue.32,02:01.8,02:02.8,00:00.9,,Agreement,"""Yeah I agree."""
2.Blue.33,02:02.9,02:04.0,00:01.1,,,"""I don't know what number we're on."""
2.Pink.42,02:04.1,02:06.0,00:02.0,,,"""Uh number nine... Ten."""
2.Blue.34,02:05.6,02:07.1,00:01.5,,,"""Ni -- yeah ten."""
2.Blue.35,02:07.1,02:08.9,00:01.8,,,"""Cause then we have eleven, twelve, and thirteen."""
2.Pink.43,02:09.1,02:10.5,00:01.3,,,"""Okay, I think..."""
2.Blue.36,02:10.5,02:13.6,00:03.2,,,"""Rope is definitely more important than a chocolate bar."""
2.Pink.44,02:12.5,02:13.1,00:00.6,,,"""Yeah."""
2.Blue.37,02:13.8,02:14.5,00:00.7,,,"""And then."""
2.Pink.45,02:13.8,02:15.6,00:01.8,,Proposal,"""Do rope then we'll do the chocolate bar."""
2.Blue.38,02:16.1,02:16.6,00:00.5,,Agreement,"""Yeah."""
2.Pink.46,02:16.6,02:18.0,00:01.4,,,"""Just for some sort of food."""
2.Blue.39,02:17.2,02:17.6,00:00.4,,,"""Yeah."""
2.Pink.47,02:18.0,02:19.5,00:01.5,,Proposal,"""And thirteen for newspaper."""
2.Blue.40,02:18.6,02:19.0,00:00.4,,Agreement,"""Yep."""
2.Pink.48,02:20.2,02:21.3,00:01.1,,,"""Cool done."""
2.Blue.41,02:20.4,02:22.1,00:01.7,,,"""Alright, that's done."""
